Name,mag.,a(AU),e,sinI,n(deg/yr),g("/y),s("/yr),LCEx1E6,My
15760,7.19,43.9878220,0.0704365,0.0439234,1.237445,0.417522,-0.419631,0.25,100
15789,7.07,39.4583389,0.1841419,0.1017869,1.456474,-0.915505,-0.391529,0.04,100
15807,7.32,43.8114055,0.0705441,0.0332462,1.244936,0.466282,-0.432530,0.05,100
15809,7.64,42.3286204,0.2217728,0.2242375,1.310850,-0.480609,-0.312396,0.50,100
15810,7.70,39.4609553,0.1247236,0.0599180,1.456373,-2.006750,-0.485984,0.03,100
15836,8.06,36.4850078,0.0716110,0.0853272,1.638190,-6.321330,-0.872607,0.12,100
15883,7.13,47.1097791,0.2124623,0.3064467,1.116465,0.207880,-0.271702,0.87,100
16684,6.74,44.1242113,0.0405192,0.0556156,1.231715,0.394169,-0.397455,0.01,100
19255,6.94,42.8468108,0.0332901,0.0133342,1.287220,0.477726,-0.477039,0.00,100
19521,4.64,45.7853915,0.1038760,0.1903646,1.165271,0.256747,-0.308620,1.54,100
20000,3.78,43.0082980,0.0525190,0.2670396,1.279931,0.258835,-0.359703,0.02,100
20108,7.69,39.4583627,0.1344384,0.3402388,1.456412,-1.588407,-0.316084,0.21,100
24978,7.28,43.3707145,0.0496136,0.0247971,1.263962,0.451568,-0.448753,0.03,100
33001,6.42,43.5089166,0.0298249,0.0421040,1.257941,0.431435,-0.431058,0.03,100
35671,5.68,37.9369321,0.0275229,0.0588755,1.545128,1.175041,-1.125186,0.23,100
38083,7.00,39.1059764,0.1027804,0.2799388,1.476174,0.954794,-0.662571,2.73,100
42301,4.21,51.7033299,0.2813877,0.0417177,0.971041,0.013242,-0.233079,0.11,100
45802,7.99,43.4992602,0.0105367,0.0379378,1.258360,0.581049,-0.429053,0.03,100
48639,4.94,52.5856051,0.2363439,0.0302653,0.946701,0.224149,-0.224906,1.43,100
49673,7.60,43.1939668,0.1003426,0.3623391,1.271666,0.181142,-0.306341,0.35,100
50000,2.50,43.3912217,0.0410074,0.1489582,1.263049,0.366476,-0.405387,0.07,100
52747,7.78,44.4548446,0.0561341,0.0204012,1.217999,0.392027,-0.390204,0.02,100
53311,6.70,44.1249480,0.0567615,0.0256345,1.231687,0.407517,-0.407363,0.03,100
55637,3.90,42.7217069,0.1403311,0.3442828,1.292816,0.234769,-0.348261,1.39,100
58534,6.85,45.3099648,0.1252378,0.0283609,1.183723,0.385393,-0.389234,3.06,100
59358,6.90,54.4194600,0.3677120,0.0748504,0.882728,0.419414,-0.642733,999.99,100
60454,6.73,44.3813669,0.0804913,0.0480219,1.221027,0.399726,-0.402720,0.07,100
60620,6.67,43.7275275,0.2198276,0.3366697,1.248443,-0.189914,-0.289331,1.15,100
60621,6.88,55.4648064,0.4015442,0.1169207,0.873922,-0.080067,-0.126836,0.38,100
66452,6.81,45.0185822,0.0606335,0.0328194,1.195183,0.363700,-0.363591,0.63,100
66652,5.88,43.7328584,0.0615656,0.0245577,1.248181,0.562909,-0.435126,1.05,100
69987,7.08,42.5636761,0.0264085,0.0292565,1.300087,0.490878,-0.492404,0.03,100
79360,5.29,43.9197739,0.0187364,0.0674563,1.240325,0.393904,-0.401674,0.03,100
79978,5.76,53.9750006,0.2739543,0.3391176,0.910356,0.042152,-0.150313,0.70,100
79983,6.11,46.4532943,0.1428133,0.1832856,1.140253,0.267872,-0.307159,0.68,100
80806,6.68,42.2099409,0.0509410,0.0308215,1.316472,0.673131,-0.530801,0.09,100
82157,7.05,38.5741184,0.0714392,0.0602980,1.506905,1.226186,-1.090629,4.67,100
84922,3.97,39.4627690,0.0797245,0.2775417,1.456209,-3.776080,-0.400541,0.33,100
85627,7.25,44.0431027,0.0823852,0.0100844,1.235125,0.428822,-0.434248,0.03,100
85633,6.74,43.5684056,0.0406890,0.0118687,1.255365,0.441141,-0.433502,0.03,100
88267,6.70,43.0274884,0.0317981,0.0269857,1.279118,0.463458,-0.463547,0.03,100
88268,6.30,42.5345421,0.0212641,0.0100864,1.301424,0.492701,-0.494828,0.03,100
88611,5.97,44.0784552,0.0351597,0.0752717,1.233632,0.385115,-0.394955,0.03,100
90568,4.02,41.9946955,0.0726933,0.3984639,1.326565,0.175859,-0.317040,2.40,100
91205,8.15,39.4599279,0.1277869,0.2119578,1.456398,-1.738076,-0.419590,0.94,100
118228,7.14,39.4603218,0.1089737,0.2553674,1.456334,-2.423769,-0.373119,0.02,100
