spkid,Name,e,a,q,i,om,w,ma,n,tp,per_y,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma
20015760,15760,0.0737,44.25,40.990,2.19,359.44,7.09,34.16,0.003348,2450597.19,294,4.7e-05,2.9e-03,6.2e-04,5.5e-05,8.5e-04,9.8e-03,1.1e-02
20015788,15788,0.3270,39.75,26.751,1.94,354.86,79.22,3.43,0.003933,2459928.46,251,1.2e-05,8.7e-04,1.1e-04,1.8e-05,8.4e-04,1.3e-03,3.6e-04
20015789,15789,0.1844,39.78,32.447,5.16,354.65,318.99,76.95,0.003928,2441210.24,251,1.4e-05,1.5e-03,7.3e-04,3.4e-05,3.2e-04,7.5e-03,9.1e-03
20015807,15807,0.0631,43.6,40.852,0.57,177.01,301.58,87.95,0.003423,2435108.07,288,2.5e-05,3.7e-03,2.5e-03,8.8e-05,4.2e-03,5.4e-02,5.7e-02
20015809,15809,0.2142,42.06,33.048,14.06,56.43,237.80,2.16,0.003614,2460202.02,273,3.2e-04,2.0e-02,7.2e-03,7.3e-04,4.2e-04,6.4e-02,3.5e-02
20015810,15810,0.1141,39.24,34.760,3.80,144.75,101.69,43.23,0.00401,2450020.92,246,3.0e-06,2.6e-04,1.3e-04,5.4e-05,7.1e-04,3.8e-03,3.3e-03
20015820,15820,0.3235,39.88,26.981,12.13,317.43,99.29,8.80,0.003913,2458550.65,252,1.0e-05,6.9e-04,6.7e-05,6.7e-06,1.3e-04,5.5e-04,9.3e-05
20015836,15836,0.0763,36.36,33.589,6.55,127.43,333.38,72.78,0.004495,2444607.96,219,2.1e-05,1.6e-03,7.6e-04,6.8e-05,4.5e-04,2.0e-02,2.1e-02
20015874,15874,0.5872,84.97,35.079,23.95,217.68,185.10,10.88,0.001258,2452153.23,783,1.3e-05,3.0e-03,1.1e-04,1.4e-05,2.8e-05,3.4e-04,6.4e-04
20015875,15875,0.3350,39.74,26.429,5.68,316.81,76.10,35.49,0.003934,2451777.72,251,2.0e-05,1.4e-03,1.4e-04,1.5e-05,3.2e-04,1.0e-03,2.3e-03
20015883,15883,0.2158,47.12,36.950,19.13,127.11,301.15,77.38,0.003047,2435409.76,323,8.2e-05,1.4e-02,7.2e-03,1.8e-04,1.8e-04,5.0e-02,6.0e-02
20016684,16684,0.0456,43.85,41.850,3.75,25.69,254.12,332.93,0.003394,2468776.35,290,3.4e-05,3.1e-03,1.5e-03,7.4e-05,7.5e-04,5.0e-02,4.8e-02
20019255,19255,0.0333,43.07,41.638,1.49,72.36,104.27,287.33,0.003487,2481641.94,283,1.3e-04,1.2e-02,1.6e-02,2.7e-04,1.8e-03,3.3e-01,3.1e-01
20019299,19299,0.2642,39.95,29.400,4.73,15.93,30.94,19.76,0.003903,2455736.16,253,3.2e-05,2.0e-03,2.2e-04,3.6e-05,3.9e-04,9.0e-04,1.2e-03
20019308,19308,0.1133,43.51,38.581,27.41,355.21,240.90,147.29,0.003434,2417911.17,287,1.3e-05,1.0e-03,1.4e-03,3.4e-05,3.8e-05,6.7e-03,7.4e-03
20019521,19521,0.1102,46.1,41.020,12.02,49.89,56.23,350.06,0.003149,2463956.23,313,2.4e-05,1.8e-03,4.9e-04,3.0e-05,8.4e-05,7.4e-03,6.4e-03
20020000,20000,0.0536,43.14,40.827,17.14,97.21,272.58,114.90,0.003479,2427771.31,283,1.3e-06,2.2e-05,5.8e-05,2.6e-06,3.6e-06,6.4e-04,7.8e-04
20020108,20108,0.1463,39.73,33.918,19.54,187.95,145.60,69.86,0.003936,2443051.00,250,1.0e-04,9.7e-03,4.2e-03,1.7e-04,1.9e-04,5.6e-02,6.4e-02
20020161,20161,0.3961,48.06,29.022,12.42,343.07,310.16,62.88,0.002959,2439546.55,333,1.0e-04,2.4e-02,9.8e-03,1.0e-04,4.5e-04,4.6e-02,5.9e-02
20024835,24835,0.1113,42.14,37.448,27.02,20.97,70.09,342.26,0.003604,2465723.44,274,1.1e-05,8.0e-04,2.7e-04,2.3e-05,3.5e-05,4.5e-03,4.0e-03
