,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
0,1,0.11794762285731557,0.1687857691831819,0.11493234761526178,0.16768197248741992,2.7634041034578134,"[0.11470439272545734, 0.16769884928229506, 2.763409887015673]","[0.11512112968128665, 0.16763284900503475, 2.763443289332575]","[0.11494214579655045, 0.1676346452295601, 2.7634320187963084]","[0.11529217832308203, 0.1676780914384429, 2.7633724026968003]","[0.11473694789229419, 0.16760860849775827, 2.7633342155007865]","[0.11553419356370617, 0.1676705602150504, 2.763351073600507]","[0.11479788124524927, 0.16765468567305933, 2.763420891525375]","[0.1146705216133896, 0.16762074187097728, 2.7634512352545735]","[0.1156554915176023, 0.16767008716597998, 2.763423518462328]"
1,2,0.2867089223418955,0.5464963367834444,0.27870433212050927,0.5462419587495939,2.7671349477113907,"[0.27907318434178935, 0.5461799482791694, 2.767098055627778]","[0.2759375534216556, 0.5459964296931074, 2.7670047836110587]","[0.2750478997675305, 0.5458934057607913, 2.7673879264942554]","[0.2762608687560975, 0.5460309400195378, 2.7677909234158924]","[0.27344464639436056, 0.5458689176856448, 2.7675094993186904]","[0.2772443457852278, 0.5459498092531256, 2.7670446377718525]","[0.2768673833288288, 0.5458668134324881, 2.7669708052851028]","[0.2740469232832312, 0.5456770624878354, 2.766801703571379]","[0.2773197965028012, 0.5458612492886187, 2.766714946291948]"
2,3,0.23584015019419505,0.23004380634291616,0.23361961360461747,0.2292405163286197,2.6658822808627423,"[0.23324862182347778, 0.2292086717922554, 2.6658293629159626]","[0.23306689083469728, 0.22920820283787227, 2.6658888459237957]","[0.23309922912899253, 0.229217618736372, 2.66587975486105]","[0.23310165973038, 0.229246634110211, 2.665861230527129]","[0.23302613864630528, 0.2292529863664739, 2.66587419308064]","[0.23321976928065088, 0.22926699403622, 2.6658828049383083]","[0.23301894256416156, 0.2292455008590395, 2.665915793406465]","[0.23325751158670266, 0.22925367590257498, 2.6659203809806074]","[0.23306665999852738, 0.22923943352649231, 2.6659103459556683]"
3,4,0.10263428415382203,0.11376951623146714,0.09789424601750342,0.11206316654584243,2.3583943622179326,"[0.09913329497133153, 0.11207607047251444, 2.3583922162485695]","[0.09803384120034778, 0.11226446272309662, 2.3583888419745227]","[0.09850347333877915, 0.1120802501963749, 2.3584059856220736]","[0.09867346660261958, 0.11188904090097142, 2.3583955581495686]","[0.09709980418988419, 0.11185698570337925, 2.3583928629310122]","[0.09764709278176177, 0.11220107767579418, 2.358395992992588]","[0.09774089663684495, 0.11235168435532053, 2.358385512516167]","[0.09659242966098776, 0.1121907899152161, 2.3583904115037706]","[0.09747426172890009, 0.1119576440817695, 2.358389034642191]"
4,6,0.16436793605940084,0.24979252456208037,0.15860546351081473,0.24906625203298263,2.4220718470236533,"[0.15683213309868357, 0.24813636598183808, 2.4220817443134934]","[0.1584220949779113, 0.24826686188925853, 2.422074136235172]","[0.1554805024008141, 0.24863365150832378, 2.4220755937170684]","[0.15799840236737106, 0.24888552162354796, 2.4220701401551725]","[0.15536112194767895, 0.2491149152506618, 2.422067306545318]","[0.15687550693948532, 0.2493630794227443, 2.422067420134096]","[0.15580802117278755, 0.24952133829827336, 2.4220659519172494]","[0.15698150205494363, 0.24959411469430917, 2.422070370063708]","[0.15625177004031746, 0.24934448007318605, 2.4220711545666855]"
5,7,0.21750771032155072,0.11692573054384153,0.21495510463127332,0.11529538834552881,2.382675896769703,"[0.21152956703254244, 0.1116091757159123, 2.383041534877062]","[0.21072383311822412, 0.11101079031584353, 2.38293836371574]","[0.21196597803811804, 0.11175177893542311, 2.381978389044355]","[0.21408222601827917, 0.11329757243191037, 2.3813189271934596]","[0.21599245952104854, 0.11550488598444389, 2.3823447499699695]","[0.21685850568262652, 0.11723878429014814, 2.383261323724033]","[0.21714757068260399, 0.11785997249220333, 2.3831600016262535]","[0.21755433522365972, 0.11864731996267738, 2.382838496406046]","[0.21725992932152208, 0.11966652190275667, 2.382867580750517]"
6,8,0.15444706198289126,0.10105630791029359,0.14641189510255312,0.09909049572028382,2.1985228188486,"[0.1445330392858767, 0.09910015022337991, 2.198457516053634]","[0.1445484874221848, 0.09874756320297967, 2.198480956828472]","[0.14520636713776466, 0.09850665363847239, 2.1985881550343644]","[0.14504783762144627, 0.09839400837854376, 2.198583757977672]","[0.14441477585555693, 0.09826623434904347, 2.1985602773123087]","[0.144094270816638, 0.09851942437421504, 2.1985603516956638]","[0.1442997945408354, 0.09950709125725023, 2.19851464350417]","[0.14604653001839563, 0.10051578441734674, 2.19846323178872]","[0.1472912742885109, 0.10001220238282664, 2.198501319545279]"
7,9,0.13082243578318695,0.08473029566683483,0.12760950082038433,0.0823913519892333,2.383282759786809,"[0.12673929417069188, 0.08241120367632038, 2.3832996242795423]","[0.12705486882046807, 0.08235991100020262, 2.3832729423231314]","[0.1271391426369747, 0.08232809078511054, 2.3832638721372574]","[0.1277382592989451, 0.08241076928872035, 2.383279894175092]","[0.1280691161515411, 0.08250027906718214, 2.383303958596923]","[0.12810472449166554, 0.08247975389879468, 2.383282466280574]","[0.12828831414608494, 0.0823766806738199, 2.383262486998821]","[0.12795948339617721, 0.08230422546944484, 2.383290444568273]","[0.12794756232970145, 0.08230916777998355, 2.383288023905842]"
8,10,0.13779333287541962,0.09100260069768144,0.13551113579556895,0.08887237299792464,3.1373512352688113,"[0.1354748526104048, 0.08887582600755282, 3.1375426387166265]","[0.1348751461725797, 0.0888652262352443, 3.1381421430493956]","[0.13500341051152742, 0.08885608077429161, 3.138092042743992]","[0.135465349532072, 0.08885342357546039, 3.1373886811014864]","[0.13574631256957986, 0.08886113762748192, 3.1369289875941893]","[0.13569220868552928, 0.08889003468965183, 3.1370486661557715]","[0.1355921913956046, 0.08886679303651246, 3.1373712234555167]","[0.13565745471786012, 0.08888694997337507, 3.137115846143153]","[0.13575935959051932, 0.08889006550013788, 3.136821286935614]"
9,11,0.07856188180192981,0.0714469022436926,0.07461060969926751,0.06860632363136823,2.449023771870809,"[0.07496887801099171, 0.06857038300021406, 2.4490183060062547]","[0.07490745684580528, 0.06853775484442812, 2.449025821007617]","[0.07439183147883384, 0.06860530344022125, 2.449034353122526]","[0.07488230060772293, 0.068624727905724, 2.4490407577620608]","[0.07472428133637689, 0.0686313833605309, 2.44904143606059]","[0.07445787118726897, 0.06865238568121615, 2.4490394244184843]","[0.07511993631646902, 0.06860340002403006, 2.449028533018495]","[0.07482823087588336, 0.06857633589265301, 2.449009215409296]","[0.07444116602132707, 0.06854388371011691, 2.448992398132225]"
10,12,0.17932919576165776,0.16395048358437456,0.1749476495208494,0.1627867279843566,2.3312245755223944,"[0.175658329196914, 0.16274363529933125, 2.3312051334258674]","[0.17376925798241907, 0.16278110255991732, 2.3312382615365626]","[0.17560575636274425, 0.16305110194462863, 2.3313153613197075]","[0.1741803996758549, 0.16311678734781748, 2.3312505899527385]","[0.1748754958342312, 0.16266858193170117, 2.3312099714270524]","[0.17447615335255853, 0.16256367712856437, 2.3312284176953355]","[0.17386994142162815, 0.16286648847855884, 2.331159002681729]","[0.17475928690873116, 0.16279143796702772, 2.3311616302971174]","[0.17325618952342312, 0.16256948862262413, 2.3312293595559175]"
11,13,0.13223730697992653,0.2772434773278773,0.12655196284731973,0.2766281374138806,2.572882982438281,"[0.1262473241492056, 0.27678810510499585, 2.5728915963624277]","[0.1263042446926509, 0.2766536419595947, 2.5728782159686285]","[0.12604127090579315, 0.276519277397787, 2.572893194443337]","[0.12578057638015183, 0.2766521050110891, 2.5728792066868964]","[0.12529491539117799, 0.2767327306379932, 2.5728655216872514]","[0.12516900944482162, 0.2765090531136753, 2.572882690047968]","[0.12490446252481259, 0.2764369314580167, 2.572880738852963]","[0.12493909693069766, 0.2766184306365185, 2.572866723960682]","[0.12502093077862958, 0.2765859507999993, 2.57288481499195]"
12,14,0.20105633277887477,0.14695616123445937,0.19835391076617567,0.145672971956553,2.584126426243026,"[0.19840436613277204, 0.14563382313003997, 2.5841496448492034]","[0.19848737241067355, 0.14563691118748465, 2.5841211438060654]","[0.19794588122280568, 0.14561068060388555, 2.5841062235312875]","[0.19831738104841168, 0.14559785339440418, 2.5841013458171327]","[0.1979659798622403, 0.1456083143698629, 2.5841034083635206]","[0.19799610836339795, 0.14567221879656966, 2.584117170835773]","[0.198368054971522, 0.14572382216320737, 2.584127911279498]","[0.19809250466020045, 0.1457610766180225, 2.584139575318996]","[0.19863925916488903, 0.14576596238532674, 2.5841364261592]"
13,15,0.15163528344675672,0.2274283638420189,0.1486818037129872,0.22663460351651363,2.640069901956808,"[0.14859736409090527, 0.22663651215316868, 2.640056469713913]","[0.1484928500287908, 0.22675401937653122, 2.6400325437771595]","[0.1484325320039955, 0.22671659871052527, 2.6400799600839018]","[0.14900742496871192, 0.22657592960422238, 2.6400927161763685]","[0.14913569508514674, 0.22654866740406465, 2.6400816144599903]","[0.14873618882700076, 0.2265523487164306, 2.640077874006202]","[0.14867230777483156, 0.22653138212277701, 2.6400626933947593]","[0.14848634425487792, 0.22662005659365558, 2.6401003276513513]","[0.14835119893141535, 0.2265472967468797, 2.640072191240527]"
