,Objname,ObsSMA,ObsEcc,ObsSin(Inc),PropSMA,PropEcc,PropSin(Inc),0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE,RMS_err,Deltas
0,2013 RQ98,56.60819595100577,0.4320248003614998,0.6165780879083276,56.60819595100579,0.43195297796887344,0.6164680130567566,[55.74391543  0.39413846  0.61215775],[55.85083837  0.39488487  0.61126261],[56.11922495  0.21994235  0.60849487],[56.39628737  0.14411135  0.605982  ],[56.48231549  0.11761071  0.60116653],[56.4408119   0.08877388  0.60045256],[56.6271937   0.21778595  0.59738824],[57.1778958   0.32394009  0.59703988],[58.06731834  0.20915133  0.5911597 ],[0.5679622  1.77723781 0.12310797],[ 1.45912239 -0.03706811 -0.00431026]
1,2013 RQ155,51.20363597761058,0.31559520567149285,0.6091443083840734,51.203635977610595,0.31547092408015437,0.6090637684787031,[51.21120111  0.15875244  0.60872691],[51.19538022  0.07353452  0.60890218],[51.20335335  0.07548165  0.60871032],[51.20757311  0.10444267  0.60787805],[5.12061031e+01 4.47479281e-02 6.07642747e-01],[51.20434879  0.07050222  0.60792236],[5.12007794e+01 4.47245797e-02 6.08591441e-01],[5.12005468e+01 4.85582917e-02 6.09177491e-01],[5.11967584e+01 3.40202052e-02 6.08755716e-01],[0.00667951 2.1844738  0.00526671],[ 7.56513510e-03 -1.56718480e-01  1.13722592e-04]
2,2013 RJ158,89.71991743810227,0.618381026717396,0.3314531989925075,89.7199174381023,0.6181706985092797,0.33017576613758326,[89.70875256  0.5714322   0.31916664],[90.0221093   0.56381904  0.32789211],[89.9298334   0.54166725  0.33207106],[89.59301084  0.54365781  0.34109746],[89.85778109  0.53703514  0.34105059],[90.34625145  0.54106397  0.33085626],[89.98374232  0.51617421  0.32974229],[89.19017733  0.56749273  0.32834694],[89.11983603  0.56265905  0.3259609 ],[0.27223738 0.61853489 0.00460236],[ 0.62633402 -0.0467385   0.0109217 ]
3,2013 RR155,62.079420994956045,0.3875732828692488,0.5671368372286978,62.079420994956045,0.38747422192686715,0.5668933605548563,[62.07916277  0.26656828  0.55556272],[62.0790755   0.26600122  0.55648066],[62.07895217  0.26500075  0.55598887],[62.07921958  0.26755911  0.55550689],[62.07953052  0.26514275  0.55644348],[62.07970009  0.26553327  0.55609852],[62.07998053  0.2687691   0.55555464],[62.07985955  0.26400255  0.55635658],[62.07946962  0.26619305  0.55605675],[1.61372611e-04 1.09249792e+00 9.79911425e-02],[ 0.00055954 -0.11870512 -0.0104127 ]
4,2013 QX103,50.415053952051,0.2604714366206804,0.5247561777906667,50.415053952051,0.2603748527603011,0.5244132381978954,[50.41531455  0.25780294  0.52018562],[50.41507098  0.25783231  0.52009158],[50.41525025  0.25786874  0.52015985],[50.41542915  0.25747908  0.5203699 ],[50.41534191  0.25734541  0.52049492],[50.41514763  0.25724456  0.52048945],[50.41488212  0.25745015  0.52045651],[50.41462432  0.25768337  0.52041158],[50.41447983  0.25801879  0.52027913],[5.51837124e-05 2.46483229e-02 3.67806010e-02],[ 0.0003752  -0.00235607 -0.00391832]
5,2013 RS155,50.43901607081102,0.27366977388719876,0.5458754894347398,50.43901607081102,0.273570642377551,0.5457970293269311,[50.43853303  0.25027108  0.54313392],[50.43807595  0.24945085  0.54322919],[50.43933299  0.24899543  0.54335574],[50.43964426  0.24937778  0.54333663],[50.43809975  0.24904659  0.5431878 ],[50.43921988  0.24930862  0.54306706],[50.44047311  0.24953905  0.54304591],[50.43836295  0.25005028  0.54304658],[50.43863006  0.24996937  0.54305911],[0.00077267 0.21612673 0.02371133],[ 0.00145704 -0.02329956 -0.00244129]
6,2013 RT155,103.712709053779,0.6533753443478137,0.4355909475403367,103.71270905377904,0.6531814300704621,0.43371509610507025,[103.20434675   0.33486799   0.34571894],[103.43566704   0.2164201    0.3311837 ],[1.03623193e+02 7.49530427e-02 3.01873083e-01],[103.39275116   0.24330484   0.33872594],[103.08467962   0.299047     0.34807992],[103.58601811   0.39299196   0.35979409],[104.44581066   0.35097953   0.34709216],[104.65463792   0.1751515    0.32174035],[104.20567751   0.34197725   0.35302293],[0.21840074 3.44893966 0.85620475],[ 0.94192886 -0.26018947 -0.07392101]
7,2013 QR99,41.037880849571,0.04054018476343922,0.5202656084176981,41.037880849571,0.04050468481742989,0.5201467993198846,[4.10381851e+01 4.05405190e-02 5.19489332e-01],[4.10380592e+01 4.04725756e-02 5.19472873e-01],[4.10378218e+01 4.04381427e-02 5.19697679e-01],[4.10376249e+01 4.04390537e-02 5.19637576e-01],[4.10380238e+01 4.04816695e-02 5.19425862e-01],[4.10380695e+01 4.05595546e-02 5.19548089e-01],[4.10379137e+01 4.05658519e-02 5.19720437e-01],[4.10376656e+01 4.05011132e-02 5.19538199e-01],[4.10374615e+01 4.04536026e-02 5.19432794e-01],[1.02562872e-04 9.00805271e-05 5.35835273e-03],[ 3.04262298e-04  6.11671169e-05 -4.26362804e-04]
8,2010 JJ210,49.31128843210519,0.2466213461188823,0.14510683478787426,49.31128843210519,0.24653564406841297,0.14368953378929844,[49.31067078  0.24326996  0.14249438],[49.31068363  0.244481    0.14252445],[49.31066115  0.24537093  0.14243755],[49.31064739  0.24589443  0.14221743],[49.31068252  0.24574195  0.14226773],[49.31069664  0.24372421  0.14236878],[49.31069898  0.2428755   0.1421839 ],[49.31074183  0.24249762  0.14215605],[49.31374054  0.24510226  0.14169451],[0.00237242 0.01986294 0.01286103],[ 0.00245211 -0.00064122 -0.00116508]
9,2013 SG113,46.626126158013065,0.17887687255681803,0.16119543797869498,46.626126158013065,0.17872729748460914,0.16001584994169535,[46.62626155  0.17457277  0.1585756 ],[46.62680129  0.17755924  0.16168913],[46.62669589  0.17881268  0.16299707],[46.62611958  0.17825195  0.16235552],[46.62614197  0.17594598  0.15991307],[46.62637927  0.17278754  0.15652783],[46.62600748  0.17097048  0.15444974],[46.62583705  0.17167122  0.15531581],[46.62552824  0.17446135  0.15836051],[0.0006369  0.03351248 0.00995836],[6.75132397e-04 8.53815410e-05 2.98122362e-03]
