,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
0,434,0.0793120474452983,0.35575329755346846,0.07702484256703984,0.3552675170558208,1.9416975219840462,"[0.06772404351610535, 0.3551627003266025, 1.9416991378872026]","[0.06703592321630941, 0.355894169734108, 1.9416934236019807]","[0.06904691171213509, 0.35630093110455835, 1.9416950081199753]","[0.06834160686300783, 0.3559688793038346, 1.9417009883035719]","[0.06828397149362832, 0.3546996025995903, 1.9416903731882351]","[0.06822788995673207, 0.35355333819254736, 1.9417056712047092]","[0.06674515704910335, 0.35374676719588066, 1.941716920791001]","[0.06898430924245423, 0.3549631575741355, 1.9416876159121381]","[0.07127630452258527, 0.3564295405285743, 1.9416937270003272]"
1,1019,0.08911207226652881,0.4195164845789517,0.08575990703026017,0.41914626162522883,1.9090753383432908,"[0.08370581633747802, 0.41750141490746784, 1.9090715780276784]","[0.0829242967235434, 0.41719584866596876, 1.9091143330343423]","[0.08209414239952113, 0.41682580624816334, 1.9090662642440197]","[0.08221198290286703, 0.4167026627653919, 1.9090690841565336]","[0.08200947866797582, 0.4173598337513809, 1.909070295094632]","[0.08306591101121748, 0.41738857105956434, 1.9090523929617538]","[0.08427064076739685, 0.417137878027985, 1.9090624704811312]","[0.08490313350101879, 0.4167496886883122, 1.9090803688604978]","[0.08435756682480797, 0.41638531645367094, 1.9091052077377395]"
2,1025,0.07984425355562337,0.41421413839552795,0.07471430664209824,0.41369830037125155,1.9764944221197465,"[0.06718203736527426, 0.4131946861268691, 1.976504685644189]","[0.0707329083212213, 0.41087388607466696, 1.9764984544156787]","[0.0692849983965991, 0.41382902320230114, 1.976506822531014]","[0.07141005684712366, 0.4141901066285994, 1.9764833415390926]","[0.07387076044731705, 0.41236108305870905, 1.9764883175923973]","[0.07122726765123649, 0.41214069873234294, 1.976495516668765]","[0.07250759623984217, 0.4111185519202004, 1.976487797980279]","[0.07329772140744555, 0.40992666897939006, 1.9765113796188472]","[0.07264151568350186, 0.410496840158235, 1.976491510083993]"
3,1103,0.08742880990861257,0.35424019042907673,0.08549290339918439,0.353713142183692,1.931090496045798,"[0.07833956229359072, 0.3549378253681672, 1.9310939404879124]","[0.07651657272960652, 0.35435499628543804, 1.931043361303302]","[0.07541685327193857, 0.35348352902218355, 1.9310303822966894]","[0.07408841015464972, 0.35281676990449296, 1.9309678956200955]","[0.07541092125216997, 0.3534952230418534, 1.9311308953700155]","[0.07705733620522605, 0.3539626282812503, 1.931267588049192]","[0.07792234247997018, 0.35350827786963135, 1.93114644529054]","[0.0791594861317437, 0.3535399324366901, 1.9310634938772362]","[0.07799575509258543, 0.35291820140189784, 1.9310569038399317]"
4,1235,0.13500390809229812,0.4305047814303861,0.13103484546158714,0.4301458948602119,1.9077049885463733,"[0.1261660484770635, 0.43067938463792454, 1.907746352855719]","[0.12880242338782366, 0.42781694157283745, 1.9077272756966017]","[0.12943616681677741, 0.42768684544324675, 1.907722689485458]","[0.12692776706284564, 0.4303133518180343, 1.9077278479179105]","[0.12693995961644094, 0.43008348534109025, 1.9077104057454408]","[0.12836296937687725, 0.4294384582918799, 1.9076595778001741]","[0.1254444121866651, 0.4303370868537225, 1.9076468431857414]","[0.12733660420056572, 0.43059867826640374, 1.9076351959193867]","[0.12849368158100452, 0.42891322121981085, 1.9076921361243906]"
5,1355,0.08012599677631731,0.40457273917856235,0.07737871050927958,0.4040812284250455,1.8510607973665933,"[0.0765580827981994, 0.402409616561287, 1.8510112152873415]","[0.07855056837067903, 0.40344985955413565, 1.8510610912248504]","[0.07717346340779463, 0.40463347877948497, 1.8510648701111267]","[0.07423295193808636, 0.40560216042538244, 1.8510947473920447]","[0.07426018775005867, 0.4050370079766923, 1.8511040299998454]","[0.07333544922377533, 0.40434094444106916, 1.8510554761054536]","[0.07321127019624893, 0.40395141963830133, 1.8510112788887831]","[0.07577737553579297, 0.4034025623660106, 1.851062853940714]","[0.076071584076931, 0.40406143519799687, 1.8511073323539147]"
6,1453,0.04936848452205084,0.4134520481087961,0.04492329288133537,0.41303643319329736,1.894521131766403,"[0.04716900715542979, 0.41121220486173676, 1.8945219749643378]","[0.04606620530977761, 0.41163862600293555, 1.8945135316575696]","[0.04518191589634654, 0.4114176666326377, 1.8945154006394307]","[0.0448051391257939, 0.41064016814455157, 1.8945231982426936]","[0.041148296223637845, 0.4104284122312226, 1.8945257750858118]","[0.04217904998132782, 0.41041611976857645, 1.8945262015861304]","[0.04519309475929697, 0.4105335519889994, 1.8945250175257813]","[0.043459061187824784, 0.4108253885692112, 1.8945209885893524]","[0.04415081909627618, 0.41088896704181865, 1.894514825954599]"
7,1509,0.048102292088408785,0.416813661513281,0.04772975228835292,0.41628635340270204,1.8637805178199385,"[0.0490618850527991, 0.41488091042803465, 1.863788430123031]","[0.05967264795504333, 0.41533543049828253, 1.86378512445772]","[0.06842328494329396, 0.4127157233340653, 1.8637584565432845]","[0.056271671555260167, 0.4127577280609734, 1.8637524384214048]","[0.03461110678535654, 0.4129258964065798, 1.8637675957189364]","[0.021891227779301158, 0.4153804242263672, 1.863774000244116]","[0.022299172232887684, 0.4190155200548612, 1.863793281893922]","[0.025738051624850086, 0.4188289000107541, 1.8637850286687636]","[0.029815586110519755, 0.4153960812611753, 1.863792885093439]"
8,1600,0.031060517979234484,0.3393164547177381,0.030524751861810032,0.3384615077161204,1.8465565258535765,"[0.022297745503047254, 0.3391135853109537, 1.8465570580062116]","[0.018723850885620265, 0.33833220007540693, 1.8465546027503466]","[0.026443561102845667, 0.33894372846067833, 1.8465589627213876]","[0.018548441730182285, 0.340511397770714, 1.846563242199933]","[0.023132901695964443, 0.3388583571863416, 1.846551744873449]","[0.028764865770038537, 0.33791750930104264, 1.846549474375016]","[0.029739667827532283, 0.3389864328122935, 1.84655837398925]","[0.02776888796283601, 0.3384296059628922, 1.846562368118138]","[0.02520333200676406, 0.3381083161259074, 1.8465549631875646]"
9,1656,0.1045541177002141,0.4103755023345926,0.10204611429557274,0.4099023083715917,1.875105886956751,"[0.09828377003681538, 0.4092613620880005, 1.875095136620463]","[0.09942748030849091, 0.4100035991327768, 1.8750289619490685]","[0.09857698421817808, 0.41022363881958346, 1.8750949698804984]","[0.09910030374764252, 0.40955553207417533, 1.8752505742874128]","[0.10057049501103056, 0.4104274640627323, 1.8750633082437316]","[0.10000008358010956, 0.41076529383793525, 1.875057832072378]","[0.10014194670847923, 0.40957073595093685, 1.8751097516724953]","[0.10038766879530873, 0.40937393538811295, 1.8750821637926283]","[0.10070465153742363, 0.40992804504266805, 1.8751686044274034]"
10,1706,0.12572865140493816,0.04724396309780598,0.12347579509429528,0.04021771619570693,2.1226178608495636,"[0.12714372000787252, 0.03723547454210254, 2.1228505978535543]","[0.1283563043940294, 0.03956744697068456, 2.1228838162299035]","[0.12577848446349052, 0.042195438162653684, 2.1228855333685313]","[0.12146637912302494, 0.041950597607731906, 2.122817298514292]","[0.11865702606269499, 0.04120049290214431, 2.122690142283808]","[0.11775725857156717, 0.04098660037166398, 2.1224665420123543]","[0.11869993479605506, 0.03990512953323336, 2.122470482007798]","[0.12324961589793315, 0.03903483642192782, 2.1226213326701817]","[0.12587840975068332, 0.04053869686880733, 2.1221934487098997]"
11,1727,0.08846923985836704,0.3506766866428664,0.08581038887189153,0.349590676240707,1.8516334199419169,"[0.08445161471903607, 0.34807677909561024, 1.8516190032126052]","[0.08343672397865094, 0.34870484911435246, 1.8516791759399773]","[0.08286663649634357, 0.3499667284113156, 1.8516550414174584]","[0.08276420748826359, 0.3499456852900986, 1.8516100682372871]","[0.08264971018644243, 0.35001002685943833, 1.8516169030713068]","[0.08294510952785669, 0.3501656775163147, 1.8516505571978545]","[0.08193966587574948, 0.34994353883444157, 1.8516380458224764]","[0.08072319278056307, 0.3505596711993742, 1.8516217147081229]","[0.0834606416934835, 0.3497426726658306, 1.8516349438460966]"
12,1750,0.14126471919894118,0.3814497119485386,0.13912989550162796,0.3807683072830366,1.923959046484465,"[0.12890083158675314, 0.37603621679475374, 1.9240921811013276]","[0.12955508036944216, 0.37540113229547106, 1.9242395968146961]","[0.13003645453525767, 0.3756585288565935, 1.9241527177117455]","[0.12869215442492704, 0.3761974563627126, 1.9238098213987764]","[0.12959251985736908, 0.37555507140591876, 1.9238341229460358]","[0.13034440275499182, 0.3747022083091507, 1.9239694790929334]","[0.12959800687759968, 0.374831158643189, 1.9238918980531963]","[0.12871367947430293, 0.3736927682982043, 1.9238554117938975]","[0.1269250351810718, 0.3721621832224205, 1.9238274521979546]"
13,1876,0.05775047195091001,0.4376829367953952,0.0575670688049511,0.43676594333391083,1.961677987200756,"[0.044042469046832185, 0.43597998285511835, 1.9617043488940307]","[0.0455765835577343, 0.436106150050284, 1.9616651553485072]","[0.05186071134361379, 0.43604176081189, 1.961649014361909]","[0.04348044879718357, 0.43622091626332393, 1.961677514742375]","[0.052350116927980195, 0.4363382585339061, 1.9616946793682815]","[0.04969228300653517, 0.4359574741604287, 1.9616773519673976]","[0.04379996193438238, 0.4362338519531622, 1.9616576849935379]","[0.0543727534616745, 0.43588841531073447, 1.9616682976655144]","[0.041922244904513045, 0.43568816633061963, 1.961676689844358]"
14,1919,0.07819470535432702,0.3584184115734525,0.07611141087216886,0.3579729063778588,1.9334558449148473,"[0.07163281676838502, 0.3570876736913712, 1.9334512382985645]","[0.07215898553303944, 0.3573922425926465, 1.9334515606580758]","[0.07278730988083848, 0.3570528212801655, 1.9334498570795349]","[0.07291103726449408, 0.3569699730911909, 1.9334374796537641]","[0.07289104976114039, 0.3568943731530136, 1.933449801120778]","[0.07330591733880086, 0.35709540657052286, 1.9334593982239294]","[0.07377592066442135, 0.35794444074431614, 1.9334573528574919]","[0.07296037946470556, 0.35826884776733253, 1.9334586910022753]","[0.07216132120329163, 0.35817238739638746, 1.9334639005031626]"
15,1920,0.08759863854633508,0.3530337374331868,0.08538831715961642,0.3525403858599287,1.9274238484762376,"[0.07931382439989491, 0.3537000305733844, 1.9274342020784556]","[0.08050878989634389, 0.35340047556510085, 1.9276404358630161]","[0.08063657366911096, 0.35336006469259373, 1.9274155990155184]","[0.07977585418954174, 0.35346790115897786, 1.9274423239422354]","[0.08110158345678957, 0.35321286646341865, 1.927384780387922]","[0.08015052049559285, 0.352743060802848, 1.9270156139088581]","[0.07764844644903532, 0.3518925690857101, 1.9274867598074867]","[0.07753051762937094, 0.3504427210800977, 1.9276113564119841]","[0.07748631826989004, 0.3495355491671647, 1.9273910243237402]"
16,2001,0.13516087565189,0.40580411590661736,0.1330466658636033,0.40540227821231517,1.9309935489096415,"[0.12169030386653809, 0.4029218015162715, 1.9310218239078745]","[0.12498063794919648, 0.4028292639850441, 1.9309675302485925]","[0.12065106189930105, 0.4043596621847261, 1.9309896387238539]","[0.11883365550050946, 0.40516478476454754, 1.9310179446865519]","[0.12402427263726352, 0.4021148506126113, 1.9310077357047504]","[0.12713893728517237, 0.4023754970419161, 1.9310059143885547]","[0.12086250146212883, 0.40497141795220987, 1.9309781815412033]","[0.12049834845882525, 0.40639362830829334, 1.9309822715981522]","[0.12404673631899328, 0.40224564120262196, 1.9309645866944436]"
17,2035,0.17726248425951327,0.42708261120651225,0.17391845673861153,0.4267185301106081,1.8815940326088385,"[0.1656393290268623, 0.42385291835666733, 1.8815453967468907]","[0.1703387284317783, 0.42439339078106025, 1.8816033276082345]","[0.16924403437879515, 0.4260239222143906, 1.881554245063187]","[0.16808449102363063, 0.427709216336088, 1.881550705865914]","[0.1655491210634062, 0.42754519505792227, 1.8816522171055854]","[0.15557924206889856, 0.42961422370192215, 1.8816634188929793]","[0.1559330662355989, 0.4296582020894915, 1.8815966185268735]","[0.16588358558647912, 0.42711465287793576, 1.8815639135024962]","[0.1666807334766136, 0.42553909421091496, 1.8816168997246137]"
18,2047,0.05831102403262112,0.4148261164282597,0.0546424407820855,0.41443498928922157,1.8694682243096972,"[0.0448529093918103, 0.4156863237460273, 1.8694723226323073]","[0.06342330289645806, 0.41421318202488294, 1.8694614604712185]","[0.06558558047380127, 0.4136722785055477, 1.869482348556738]","[0.05215562866849755, 0.4144257274931173, 1.8694693006902825]","[0.04311593060768302, 0.4146214983701884, 1.8694567822918393]","[0.050094723756059306, 0.41414852583271655, 1.8694597672501991]","[0.06338915255537594, 0.4124656891567099, 1.869454043458721]","[0.060580438961129385, 0.41273763936000196, 1.8694761987877442]","[0.05217577145806581, 0.4139821510414243, 1.8694676470319709]"
19,2048,0.06044467952508571,0.3677985666588921,0.057610410201127754,0.3666698314476457,1.9510341800746918,"[0.0526085560502326, 0.3644268872490412, 1.951018928971909]","[0.051066467927828, 0.36541848114572595, 1.9510270426611491]","[0.05023613364631423, 0.36609750529712615, 1.95104495698351]","[0.051763403427806894, 0.36621534011252893, 1.951039906436296]","[0.05369342338956425, 0.3665612711438248, 1.9510314062079943]","[0.05385268433652314, 0.3667119375525175, 1.9510454822871175]","[0.05341091673453539, 0.3678697994149332, 1.9510309379024742]","[0.05261546225513722, 0.36843680404656654, 1.9510185016091226]","[0.05219552241197104, 0.3683903436997987, 1.9510365082273424]"
20,2049,0.07539599570212659,0.41045358409405464,0.07298533328070143,0.4099464951803822,1.9465175027552042,"[0.07005507095278457, 0.4081718162487072, 1.9464705949442724]","[0.07069736689897244, 0.4081304944713198, 1.946485805299326]","[0.06942083731213464, 0.4072553961710588, 1.9464877951147472]","[0.07024318802345488, 0.40789576873440264, 1.9465926430008058]","[0.07040287348108897, 0.40717996312617916, 1.9465849119254217]","[0.06918368436584206, 0.40726680543849475, 1.9464731045168802]","[0.06906733624533812, 0.40791833634432545, 1.946532462495823]","[0.06918822262371455, 0.40769427492077487, 1.9465750034138778]","[0.0683606940313993, 0.4090230427223089, 1.9465187710090346]"
21,2074,0.14561184815595551,0.4948327880307642,0.13091905355527092,0.4773202076175382,1.8062139119933167,"[0.05529815345784859, 0.459827185124444, 1.7976708422115744]","[0.05086188585923408, 0.4592476469550186, 1.7975348549473464]","[0.10328096870797271, 0.48270929541992164, 1.8002553586369283]","[0.11432869765038257, 0.4754160512869562, 1.8070250949420947]","[0.09848097069737705, 0.49072472570840364, 1.8107830111737027]","[0.15127882048927682, 0.4958948878662636, 1.8105876799739544]","[0.1974341950154791, 0.5045731216285607, 1.8110810018817947]","[0.22061981961325233, 0.4608407839189756, 1.8123301350377026]","[0.22732368607909498, 0.5143598256945157, 1.811271922601757]"
22,2083,0.06044793714505494,0.35079708632831247,0.05785130993220261,0.34648082892341137,1.8695709856496678,"[0.05325916216985213, 0.35030942530124615, 1.8695579434455631]","[0.056495569098563375, 0.34995878559269034, 1.8695612850405814]","[0.05791485007489126, 0.3491029114947044, 1.8695808868977966]","[0.05634375240892575, 0.34955433759643834, 1.869589587804386]","[0.05585748183430414, 0.34967359583409857, 1.8695624566430005]","[0.05797486443226856, 0.34900434278418163, 1.8695610939427392]","[0.05891588895382305, 0.3493961087870295, 1.869592289779038]","[0.05648514611524988, 0.3500837180315236, 1.8695775575298774]","[0.05184495942336836, 0.3506172530165968, 1.8695544448193997]"
23,2131,0.18820204042847083,0.5662121010223464,0.18213118157193542,0.5632608058666827,1.8890313983569078,"[0.1844938143585211, 0.5756836456383585, 1.8837740207091396]","[0.18351661542113112, 0.5723295050623383, 1.8845545013456722]","[0.17844672449704757, 0.5686184963896198, 1.884863066496068]","[0.1776731633708846, 0.5661588025042392, 1.8841915388307366]","[0.1737278242617043, 0.5621619060119791, 1.8837030310766645]","[0.15350126834386119, 0.5600120575613229, 1.8856483624520208]","[0.17225585868911264, 0.5609047887772621, 1.8928916165558125]","[0.17803679180084087, 0.5619110148125767, 1.8976091801798347]","[0.18127186495165096, 0.5613376839083428, 1.8999185042982287]"
24,2150,0.0617695920935501,0.4268588320030507,0.05436619555577289,0.4263646582269434,1.9106340275347329,"[0.0542359750525582, 0.42527469261216544, 1.9106255972170283]","[0.06287674571918025, 0.4254521026418397, 1.910639694735136]","[0.0494478506383158, 0.4252449791830387, 1.9106480761778522]","[0.04543285992653226, 0.42545432882977197, 1.9106268009411365]","[0.06061319661096827, 0.42533063295229795, 1.9106432547537684]","[0.05581414659750197, 0.42537439111383274, 1.9106447198120755]","[0.04210867447571822, 0.4256378143672033, 1.9106125006296215]","[0.05025460979916295, 0.4254144122530893, 1.9106368624483876]","[0.06559558444410275, 0.4249857724506367, 1.9106386327403084]"
25,2272,0.06821039252553518,0.39933828024058626,0.06501127308394794,0.3989253536765018,1.8642641115347636,"[0.06559904582863456, 0.39704792974592806, 1.8641830202481489]","[0.06566965091321472, 0.3968433691996423, 1.8643288480412852]","[0.06632760285631364, 0.3970622776853839, 1.864325813275826]","[0.06564885653666333, 0.3972991653338345, 1.8642136074413038]","[0.06446974437984787, 0.3970035029163791, 1.8642084346497578]","[0.06364300582436876, 0.3966346530211762, 1.8643054574664848]","[0.06381612270466838, 0.3968918952891835, 1.864341387742022]","[0.06485588892605158, 0.39709079396947683, 1.8642437775683043]","[0.06449528470997186, 0.39713152924740064, 1.8642653526680382]"
26,2449,0.14859007367960386,0.41204031690785115,0.14602489655317885,0.4115282966093674,1.8986636366506393,"[0.143545339134762, 0.40600853306242746, 1.9010793880590469]","[0.14182092566783408, 0.40547594195920267, 1.90143917264529]","[0.14003650519427802, 0.4100466074558948, 1.900654929120856]","[0.13637529535566442, 0.41252622900398306, 1.8995860701646956]","[0.13610075866602978, 0.4134926040525473, 1.8977823097765554]","[0.13473365473026594, 0.4126073118452025, 1.8966921459309147]","[0.13303121865041984, 0.4117812263191088, 1.8964962289202472]","[0.13962831530823258, 0.4137220440362513, 1.8964057685780993]","[0.13581679464296495, 0.41321569875721265, 1.8973087384126628]"
27,2491,0.06026283431533048,0.34529406342041474,0.05765923407984288,0.3447909892163014,1.875262068522959,"[0.057087442712784923, 0.34446737832018187, 1.8752679139874326]","[0.05833332805090474, 0.3450481551629167, 1.8752668317917591]","[0.05862047807873735, 0.34488540465574813, 1.8752631165114508]","[0.05751436101308426, 0.3443500152725845, 1.875267911008006]","[0.055416033215354245, 0.3445409594425129, 1.8752563691156656]","[0.054581917076584247, 0.34462826421882947, 1.8752497213219177]","[0.05463372509046563, 0.3448032721922715, 1.8752608845186174]","[0.054988074449828554, 0.3450896132473974, 1.8752692369508666]","[0.054812187625884405, 0.3452400870951981, 1.8752559219038871]"
