,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
0,434,0.07942820267813196,0.35558378422541703,0.07729913541535842,0.35509520256240457,1.9417059248803696,"[0.07582254701791234, 0.35511849303679194, 1.9417050410651686]","[0.07440722972655799, 0.35590716056162136, 1.9417016308310187]","[0.07528928899607135, 0.3570622232120647, 1.9416971191973575]","[0.07585237184437606, 0.35732927645517254, 1.941699872055664]","[0.07623846259871658, 0.35585717682019335, 1.9417073503177764]","[0.07325273886354887, 0.3532870068498595, 1.9416983086913622]","[0.07501694691447683, 0.35174097443664026, 1.9417170432092394]","[0.07344332990544036, 0.3532063457068607, 1.9417175380279597]","[0.07112544244357076, 0.3556268529637161, 1.9417120220726458]"
1,1019,0.09076665673694835,0.4200963415374666,0.08806910407300042,0.4197217056660638,1.9090692611786366,"[0.08550129926478531, 0.41746639844399147, 1.9090578464298416]","[0.08577447012030417, 0.41699529168808624, 1.9090951702946686]","[0.08589507219244544, 0.41679859522966606, 1.9090958558533304]","[0.08586344134542968, 0.41713238902849203, 1.9090842325688637]","[0.08606103634417404, 0.41770704853356455, 1.90909050865607]","[0.08636984841544625, 0.4179002094986501, 1.9090683526610182]","[0.08755233685869893, 0.4178817875377241, 1.9090586591976302]","[0.08808815000733185, 0.4179748295485611, 1.9090470308582497]","[0.08857167874115063, 0.417701242536535, 1.9090370221988855]"
2,1025,0.07665683614466759,0.41621617562196817,0.07369970731506986,0.4158209219405391,1.9764957796516525,"[0.0688744429408722, 0.4132545975820035, 1.9764987472358735]","[0.07103994692668393, 0.41142999582413076, 1.9765117708820412]","[0.0695588745078104, 0.4159037836259493, 1.9764999760129862]","[0.07005013601509788, 0.418833140174096, 1.9764681085379148]","[0.07185022690080499, 0.4175001980537984, 1.9764968319607283]","[0.07176376405640797, 0.4171947102561361, 1.9765077234226656]","[0.07078675349120636, 0.41628418821907676, 1.9764957087999626]","[0.0722468874436662, 0.4130437493088275, 1.9764959023953323]","[0.0703741047828711, 0.4127644376972341, 1.9764898039171777]"
3,1103,0.08782494873656163,0.35626674247590623,0.08593313659210881,0.35579350671778365,1.9310771459624252,"[0.08324238827020701, 0.3551365952238522, 1.931089973172247]","[0.08277238223387584, 0.35487193109255155, 1.9310758926286071]","[0.08389229521324347, 0.35453270559056627, 1.9310377205005347]","[0.0841939765163758, 0.3545690199653278, 1.9310209557725815]","[0.08489666559913675, 0.3547271405417453, 1.9309992956240976]","[0.08603134093380717, 0.3553373366170615, 1.9310283766213177]","[0.08550755274793925, 0.35609450902420653, 1.931094248875182]","[0.08641871869401821, 0.3569563530644412, 1.931147572345902]","[0.08760881837046319, 0.3577820509175527, 1.9311612443414778]"
4,1235,0.1340394136701532,0.4308675380846899,0.13280650992206708,0.4304959825598083,1.9081482399117224,"[0.12848947437126088, 0.4301689271901534, 1.9077669536524353]","[0.13052706007732717, 0.4272979048903479, 1.9080220790791795]","[0.13063832815445603, 0.4278456000981061, 1.9082915314757456]","[0.1284401211627652, 0.43023745071070985, 1.9083453138661262]","[0.127992056123746, 0.4296511935668884, 1.908374842921336]","[0.1295110376840569, 0.4289888581945769, 1.908260509693372]","[0.1249953070397707, 0.4317284405879734, 1.9081636142048866]","[0.12391343097318976, 0.432478344402566, 1.9082012775295816]","[0.12629850696290185, 0.43063014728461474, 1.9081482957449667]"
5,1355,0.08229639011524413,0.4043566305969641,0.07998629840508661,0.4038144652645469,1.851056501845831,"[0.07864783399530446, 0.40267044500562876, 1.8509986633207183]","[0.08077252433035198, 0.40361530851554356, 1.8510266557780524]","[0.08157379738707002, 0.40420377144194414, 1.851110130132034]","[0.07924644195825732, 0.4037746436139996, 1.8511186591774926]","[0.07971539137527456, 0.40359689854938835, 1.8510316978942933]","[0.08045062765259892, 0.4038029376695763, 1.8510575570921892]","[0.07888937641016733, 0.403836195316315, 1.8510825377336355]","[0.07717030871089217, 0.40427839576613456, 1.851026456978362]","[0.07744292023757281, 0.4039108219456917, 1.851062915320871]"
6,1453,0.04877008001471418,0.4146795236387487,0.04432956992750136,0.41425362219187645,1.8945232124719802,"[0.04731282609833731, 0.4113855665790052, 1.8945211832513638]","[0.045448064785432805, 0.4117581164326825, 1.8945200300177711]","[0.04547230271299125, 0.4119065636928614, 1.894520296513617]","[0.04439128776001388, 0.41161217073236855, 1.894522478709932]","[0.04280819663367841, 0.41221812859557144, 1.8945191724681185]","[0.042031746198226486, 0.4119461906213612, 1.8945228984165605]","[0.041605667264628964, 0.4120795641013067, 1.8945312950110875]","[0.04357910488094839, 0.4124064708235319, 1.8945197657735788]","[0.043455608242641455, 0.41263206111556816, 1.89452266676018]"
7,1509,0.062170219507012965,0.4155498026266174,0.051974137889741576,0.4151794124351202,1.863785018725789,"[0.050468802288419705, 0.41478998749104484, 1.863788553308797]","[0.06157905020892779, 0.41473696927684056, 1.8637889703658814]","[0.06425582101192628, 0.41325842727704887, 1.8637637083947496]","[0.05204663802580899, 0.4137557432328858, 1.8637483990509638]","[0.04658977682904735, 0.4149261851573506, 1.8637711276851814]","[0.059109520178095336, 0.41520055955555496, 1.8637741529277674]","[0.07246461706968504, 0.41297795421815475, 1.8637866517114134]","[0.06515630414185411, 0.41399894100965456, 1.863810908468297]","[0.04797996665582757, 0.41461683778288677, 1.8638125296742938]"
8,1600,0.031812830836992836,0.33883000663424667,0.025074960617912038,0.3383202142089875,1.8465555018734912,"[0.023081909406747144, 0.3392234209588888, 1.8465533411594899]","[0.020994484411915603, 0.3381265971377551, 1.846563305641187]","[0.02366037319275123, 0.33828121143798195, 1.8465591027956776]","[0.02844886413110958, 0.3387255640978757, 1.8465527174074887]","[0.027551213932887425, 0.33740616416511904, 1.846560781207498]","[0.0230636136873573, 0.33800265093250015, 1.84655723309105]","[0.02171670367697285, 0.33905835095233927, 1.8465545455170036]","[0.02556984690297409, 0.33824479630543497, 1.8465574936719218]","[0.028883887938250013, 0.3376461390119109, 1.8465507722505645]"
9,1656,0.10243434418410684,0.41085387154786207,0.10096042220176718,0.4104681929551443,1.8750222630422149,"[0.09984205923726619, 0.40945835997650126, 1.8750927105236401]","[0.10069779907458945, 0.4105014182102549, 1.8750817384867873]","[0.0990380401888172, 0.4106004213765165, 1.8749992968450866]","[0.09850338158042894, 0.41003539528777816, 1.8749887006207264]","[0.09997934192634741, 0.41135219369765724, 1.8751479735683634]","[0.09901441423247204, 0.4111736952939796, 1.875124301286606]","[0.09893797061231394, 0.4101591255864297, 1.875024192063309]","[0.10105918052557802, 0.41114128737689926, 1.874938657831131]","[0.10039110346807502, 0.41067542652105216, 1.8748452717694655]"
