,Objname,ObsSMA,ObsEcc,ObsSin(Inc),PropSMA,PropEcc,PropSin(Inc),0_2PE_a,0_2PE_e,0_2PE_sinI,1_3PE_a,1_3PE_e,1_3PE_sinI,2_4PE_a,2_4PE_e,2_4PE_sinI,3_5PE_a,3_5PE_e,3_5PE_sinI,4_6PE_a,4_6PE_e,4_6PE_sinI,RMS_err_a,RMS_err_e,RMS_err_sinI,Delta_a,Delta_e,Delta_sinI
0,1,2.7670978784734412,0.11825416657964645,0.1696648022368416,2.7670978784734412,0.11497778611096245,0.1674829943338237,2.767101343980532,0.11507571968887349,0.16745208033238929,2.767080667387307,0.11524193549220285,0.1674560571967424,2.767077694555848,0.11476859439470219,0.16747055977538658,2.767097511135263,0.11526671299663992,0.16745334108427856,2.7671143449598863,0.11484438930595456,0.16748235546678708,1.3589095652810938e-05,0.00020267005981755576,1.1768153015208953e-05,1.646648644504367e-05,0.0002889268856774707,-6.388670366064275e-07
1,2,2.7707730791690417,0.28830180597662086,0.5789223934652649,2.7707730791690417,0.26916493950373716,0.5386762471508781,2.7709024321987434,0.18612481744059461,0.5378189471003343,2.770623874146585,0.21115019180818,0.5378036929117274,2.7705402071484033,0.2259617170301041,0.537774492953895,2.7707166046350142,0.23153471228526856,0.53780987264719,2.7708765876660766,0.24407849345142796,0.5377461271326953,0.0001404744998937683,0.019869313382866075,2.6771950623034726e-05,0.00012935302970173979,-0.025086446052309197,-0.0008573000505438522
2,3,2.66931303620957,0.23599889212455485,0.2321922254783941,2.66931303620957,0.013406042310857307,0.22824251618998898,2.6693199099072706,0.014331466865448736,0.22817161248855317,2.669312179729669,0.014459255101295001,0.22818709878802715,2.669309950832363,0.014536861769846582,0.22819506945663948,2.669317904512242,0.014513145018377624,0.22820157539499877,2.6693099703910295,0.01449652235382187,0.2281938747452765,4.150124781705186e-06,7.253936793415935e-05,1.0208840364680587e-05,6.873697700804371e-06,0.0011308194589892753,-4.094079499020187e-05
3,4,2.3615125295101964,0.10410549290302083,0.11399011742456219,2.3615125295101964,0.09977219420683252,0.11118805280309292,2.3615129720016563,0.09917673641727046,0.11110299877394507,2.3615123504642273,0.09951818898059622,0.11119498699728005,2.361512119058187,0.09981158443270399,0.1111897848024857,2.361512210458212,0.10004624908086461,0.11117513388706722,2.3615124751377783,0.10037448299466908,0.11127943094325196,2.989675109336135e-07,0.00041415449200521686,5.6216146266515845e-05,4.4249145991770433e-07,0.0006022887878365663,9.137814015904022e-05
4,5,2.577346230883708,0.19031297050722204,0.08049054387581404,2.577346230883708,0.17728969221737745,0.07746178574142933,2.57759265729694,0.16046642527825009,0.0715480278218317,2.577705062872248,0.18260909213077553,0.07517703744994005,2.5776968121103865,0.17728340860495467,0.0741878942704834,2.5774089053857523,0.166280423992964,0.07200922982152234,2.576750989627867,0.21199110437023783,0.07661933853861677,0.00035631498150255164,0.01792780056539222,0.0019086618311526878,0.00035883198854014253,0.03470141215286038,-0.0008424472028125546
5,6,2.4252753833877345,0.1648115749611458,0.25240140089066,2.4252753833877345,0.1583630218951274,0.10297526469330616,2.4252684111814644,0.158417354263922,0.10069913253454153,2.4252729104807256,0.15823729911608617,0.10192442887103721,2.4252778462164923,0.15842967438305083,0.10293866838550306,2.425277428248793,0.1586807505114981,0.10345551767094215,2.425279385604058,0.15861105232851647,0.10278500531311542,4.020366267160127e-06,0.000156666784020759,0.0009657998772575727,4.002216323684138e-06,0.00031772861637069383,0.0004802529776359865
6,7,2.3860527679424925,0.21530182382970572,0.11407863960078071,2.3860527679424925,0.21202266619889004,0.00773625069930111,2.386011905699606,0.2111534969468926,0.007849762568799337,2.3860177095422537,0.21198034174179417,0.008068416809903743,2.3860141698467965,0.2120341143660388,0.008235439624307905,2.3860377243683026,0.21173498019555037,0.008297136612621138,2.3861321315754402,0.21451112342306208,0.009298025706197198,4.562793261903323e-05,0.0011570810467314107,0.000498838178269928,7.936363294769322e-05,0.0024884572241720415,0.0015617750068960875
7,8,2.201431637606253,0.15460761092022374,0.1012431569810691,2.201431637606253,0.15329548563337464,0.0979353918491838,2.201430055185438,0.1444726025060611,0.0965344595827885,2.201430667810187,0.1462322911391089,0.09756528436082434,2.2014303569124123,0.14666835251863525,0.09831946320751368,2.20143297220328,0.14692590754898255,0.09866178669911005,2.2014346008051446,0.14660193814610956,0.09778993169109107,1.7665338946900444e-06,0.000882138127544199,0.0007302015674128428,2.9631988915923557e-06,-0.006369578084392091,0.0007263948499262457
8,9,2.3864364039615933,0.13107583945381585,0.08476925028791032,2.3864364039615933,0.127876414905746,0.08146887709239922,2.386438847325168,0.127484711953017,0.081405196857957,2.3864368407468177,0.12774078360602073,0.08147313370559059,2.3864355707309444,0.12802320775201148,0.08143867238973593,2.3864361994382612,0.1281821428707235,0.0815254743630985,2.386434963094595,0.12827437871154682,0.08149075456888186,1.337218215989424e-06,0.0002913193230894186,4.157549675115509e-05,2.4433635745779725e-06,0.00039796380580081614,5.6597270699274005e-05
9,10,3.1416205593761086,0.13805159789888066,0.0911779932297734,3.1416205593761086,0.13557039003700433,0.08867639984307851,3.1416398916006054,0.1357747845866808,0.08868878077888434,3.1415264014493864,0.1357154771740533,0.08868941743722623,3.141798249435615,0.1356087251398834,0.08868093543262454,3.141867572922913,0.1352468584106435,0.08867307928478295,3.1414215206051277,0.13548646840221956,0.08866805245360358,0.0001654659138066457,0.00018758220876457493,8.453298928418306e-06,0.0002470135468044532,0.00020439454967646764,1.301759414772119e-05
10,11,2.452255386755463,0.07847412345189167,0.07156238547272695,2.452255386755463,0.07454821846341281,0.06783774212897423,2.452255559389514,0.07450291541072478,0.06778504274307229,2.452255730762838,0.07456676502291937,0.06784805235749344,2.4522549638306694,0.07461187406016825,0.06785019801200518,2.452255059718882,0.07457145513970703,0.06784272542634752,2.4522550388079845,0.07451886830412871,0.06778841111965644,3.1223548141232316e-07,3.914128393124502e-05,2.9642954834608754e-05,3.4400737503048617e-07,6.365559675544641e-05,1.2455883030948467e-05
11,12,2.3343443256717213,0.17915180839600076,0.16470326736101112,2.3343443256717213,0.17487408533276794,0.15961634088089832,2.334296780207654,0.17503999944011941,0.15892500989519265,2.3343906958436027,0.17484382656363834,0.15887704829403185,2.3343676712134673,0.1748633150204224,0.15885056491979946,2.3343247979880366,0.1751225268127779,0.15895263077935456,2.334368773298483,0.17523694017848407,0.15905524500380785,3.4023578559663864e-05,0.00015070056092481908,7.115494934716601e-05,4.637017188136028e-05,0.0003628548457161318,-0.0005610958770904673
12,13,2.576295525484929,0.13211755737099456,0.2809583897001983,2.576295525484929,0.01136875168621632,0.02889116231445298,2.576297368418976,0.012129851400131212,0.028987408088978907,2.576296078534746,0.012309613043981885,0.02921928699461224,2.576294686373569,0.012606415631575059,0.029427856932973864,2.576295689922979,0.012732727469328516,0.029648734027455895,2.576295044480163,0.01270764138836781,0.02949277941775569,9.33500042191751e-07,0.0002374113175174854,0.00022983149712895037,1.8429340471470823e-06,0.0013639757831121965,0.0007575717130029157
13,14,2.587546992525034,0.20127531091331596,0.14783202923207708,2.587546992525034,0.1984889365570195,0.14558149621942315,2.587546352872378,0.19827975373435977,0.14535335854508075,2.587545807774008,0.19856928468595583,0.1454792948640895,2.587547999508104,0.19831568978297687,0.14555213480899415,2.58754670388332,0.198717565714314,0.14567185438197197,2.5875465563945865,0.19859712072598684,0.14581689599426448,7.24521568122782e-07,0.00016968297817817653,0.00015918620590064464,1.0069830702619242e-06,0.00022862915729451871,0.00023539977484132724
14,15,2.6435426035194642,0.15197617658462076,0.22961475458932093,2.6435426035194642,0.1487270274106943,0.22618112497894616,2.6435399721573076,0.14869971912374522,0.22619303234186847,2.6435522909740734,0.14875522727117627,0.22623426143140984,2.643523760686973,0.14872274248938705,0.22617024349163944,2.6435149937545948,0.1487728358585096,0.22619994693289355,2.643564495257228,0.14880831705619574,0.2261894514235659,1.808915201888914e-05,3.796098723942964e-05,2.0904465623618643e-05,2.189173776390163e-05,8.128964550144224e-05,5.313645246368681e-05
15,16,2.9221279253143306,0.10605893646172128,0.0489753011206148,2.9221279253143306,0.10294291788885854,0.04399232699842677,2.922129063208147,0.10255902191058794,0.0440140925155246,2.922128277486432,0.10264108666118565,0.043969986835864026,2.922128289389944,0.10292085576811516,0.04399139322753676,2.922127248084946,0.1030482426759572,0.04399769856205609,2.9221272380504204,0.10296506073188273,0.04395871876392302,6.977677007815486e-07,0.0001914125969086392,1.9774253995370405e-05,1.1378938165051977e-06,0.00010532478709866788,2.1765517097829812e-05
16,17,2.4711665578362516,0.14218879007060237,0.08804583081556432,2.4711665578362516,0.13780357462755338,0.08511224351650708,2.4711423692185863,0.13768522364369562,0.08501422351279456,2.4711645083119738,0.1377391444047311,0.08509390393821849,2.471178770726511,0.13776459340562558,0.08513899239180237,2.4711820865938248,0.1377756626086842,0.08516319922182786,2.4711789597266147,0.1377649458646824,0.0851867512384685,1.4796767553559831e-05,3.263513001327536e-05,6.0910696287666736e-05,1.5528757573157748e-05,-2.7912018869175048e-05,7.450772196142263e-05
17,18,2.296007142828137,0.18429063242132018,0.1717571757455934,2.296007142828137,0.182179964180316,0.16149399046312807,2.2957186129065286,0.1776573875675287,0.0507281149856527,2.2958121378320446,0.17590428902822006,0.04439802976295675,2.296064845312746,0.18039230157973105,0.05051561221415742,2.2962442182613856,0.1764885664210065,0.046840796239078886,2.2962385313913183,0.17702355894960503,0.048612813241557945,0.00021632751978283723,0.0015611685972556424,0.0023758970379543676,0.0002370754332488012,-0.001787662600584966,-0.11076587547747536
18,19,2.4420122558445945,0.13780507373535347,0.04534870379302341,2.4420122558445945,0.13482695613120893,0.00098099703602494,2.4420122522136003,0.13465344113089694,0.0013731643670529363,2.442012029685699,0.1348140942123965,0.0015609635899808114,2.4420119235004267,0.13491310529420236,0.0014142960482898465,2.442012618158646,0.13501735863678718,0.001382960688087875,2.4420125710764133,0.13505055044147896,0.001557903118970875,2.791387720650049e-07,0.0001443965981051512,8.404766617159867e-05,3.623140516495482e-07,0.00022359431027002552,0.0005799665539558715
19,20,2.4086646253215944,0.16522298362941154,0.03578580398115935,2.4086646253215944,0.16237029813348186,0.0008794195275916277,2.4086645700201057,0.16235192018373162,0.0008749124623933445,2.408664625606307,0.1623913070721127,0.0008893037668328583,2.408664599914843,0.16235981469001814,0.0008948294769718732,2.408664648472151,0.16232563275334616,0.0008776189095179928,2.4086646891225225,0.16232125213469714,0.0008817050891124381,4.0747570681137293e-08,2.5402719738418795e-05,7.3951905060818226e-06,6.380092809621374e-08,2.1008938630828755e-05,1.5409949380245508e-05
20,21,2.435260345493895,0.13228532811757968,0.044398481686406345,2.435260345493895,0.12928983391911628,0.037518210436252045,2.435260631401071,0.12941550573373914,0.03749589935734638,2.435260083687539,0.12929842588883592,0.03752477698719838,2.435259942392301,0.12931984604624974,0.03755809340646098,2.435260082624342,0.12929238426747033,0.037529673817126054,2.4352603857567936,0.1292217885304356,0.03750288991114824,2.4944401364319403e-07,6.237483756414953e-05,2.197915615576486e-05,2.859071761562859e-07,0.00012567181462286303,3.9882970208932056e-05
21,22,2.909521659049121,0.09624607949529068,0.2206755018933006,2.909521659049121,0.0060694016466245225,0.2178453887547362,2.909340755866682,0.006250336248563871,0.21782954257916737,2.9094576517220903,0.006371499016830721,0.2178096902149182,2.9096054356227508,0.006455475035161148,0.21778426787980015,2.9095568052304004,0.00654948791500227,0.2177978037154089,2.9096184993399112,0.00680778636927878,0.21774371343507748,0.00010419673187710928,0.0001882299824615748,2.8783378500285336e-05,9.68402907903787e-05,0.0007383847226542575,-1.5846175568823284e-05
22,23,2.6279429095038918,0.2568644007396418,0.16935916227866818,2.6279429095038918,0.25435086096658976,0.1667925515378872,2.6279046709431775,0.25436951495419147,0.16679131427383773,2.627920178376823,0.25427407194775,0.16679295588120086,2.6279585998052695,0.2545481313432352,0.16680888367666005,2.6279685680473115,0.25423570124398215,0.16678635142749632,2.6279647264004655,0.25468977236335105,0.16680243126473446,2.591698484351e-05,0.0001714324502200327,8.13532919640755e-06,2.565854341973761e-05,0.0003389113967612878,1.6332138772862104e-05
23,24,3.134505840000922,0.1551744264615985,0.03162924848886886,3.134505840000922,0.1526075473244063,0.01889404136528013,3.1345413728106437,0.15261305174122822,0.01889558196413113,3.1345034623744894,0.15260681652299277,0.018895134769143732,3.134465163574374,0.15260482937956463,0.01889407993943388,3.1344975894821547,0.15260235699544314,0.01889467553562175,3.134512271546294,0.1526053256989569,0.018893565394239094,2.4555216379615527e-05,3.5876755280703865e-06,7.206284069276146e-07,3.553280972168338e-05,5.5044168219275935e-06,1.5405988510013013e-06
24,25,2.400153281631573,0.22828473481235223,0.41014842601012313,2.400153281631573,0.22265588435544006,0.39569819496644765,2.400156049593182,0.23204223881023617,0.39570664888256674,2.400156171588707,0.23243836716217992,0.39572280414706335,2.400150275088543,0.23118527449169932,0.3959020189474186,2.4001540126212464,0.23186033905105147,0.395929336274611,2.4001530419282333,0.23111306031912318,0.3959780758082776,2.1757437046900933e-06,0.0005086418866245249,0.00011145155277034794,2.8899571340446073e-06,0.00978248280673985,0.0002798808418299492
25,26,2.6556508639707337,0.12276388313663336,0.057002196223031036,2.6556508639707337,0.11986895582054108,0.05283063027215354,2.655650512786439,0.11956946380602113,0.05222801349679465,2.655650739770055,0.11964883846495156,0.05241144469157208,2.6556507079804352,0.11998463599778157,0.05314437096742599,2.6556509717730243,0.11990691816299155,0.05308078590132391,2.6556513100188033,0.11991438028722046,0.05288608332171237,2.7293493084991306e-07,0.00016400247440946482,0.00036621194730869467,4.4604806959114285e-07,0.00011568017724049307,0.0003137406952724506
26,27,2.3472338171118574,0.18829721850190906,0.030911126765378202,2.3472338171118574,0.18522578278329555,0.01228207255447328,2.347113830940217,0.18636839353000528,0.012258853435703432,2.3472184694952807,0.1856224454802776,0.012310181048547647,2.3473011805357715,0.18508530776412327,0.01227465492140933,2.3473373720334036,0.1846801908336917,0.012297149785625069,2.347286185182902,0.18539264109075287,0.012301413689403592,7.885298380886208e-05,0.0005656924399137105,1.887984530487004e-05,0.00010355492154623391,0.001142610746709738,2.8108494074367135e-05
27,28,2.777425872210439,0.18106506462349226,0.1499012323870198,2.777425872210439,0.1786526290400816,0.14779564410787044,2.777426112881033,0.1785358781552826,0.14766644281720928,2.777426225818185,0.17859454168203792,0.14772831154027116,2.7774264782529126,0.17867372578903695,0.14786105068438152,2.777425299058234,0.17861724781440735,0.1477895103883781,2.7774249887767217,0.1786832681103651,0.1478424012922507,5.737721628589829e-07,5.406875885884657e-05,7.223619183152361e-05,6.060424735387926e-07,3.0639070283500214e-05,6.540657651107895e-05
28,29,2.5543007768343626,0.07954331645028076,0.11453993427755638,2.5543007768343626,0.07394034178779921,0.11238617188775919,2.554302679700198,0.0741048281659814,0.11255334301374868,2.554298631328109,0.07413966802719786,0.11253472936727396,2.5542988129540847,0.07299990262314361,0.11189021462983138,2.554301694777807,0.07376778551652943,0.11233001153607464,2.5543013151975815,0.07388064670873394,0.11235843392904528,1.6186915779034584e-06,0.0004132057645711017,0.00023914843956533664,1.9028658355679795e-06,0.00019932623939865335,0.00016717112598949035
29,30,2.3656305219544373,0.10882009446320581,0.05473858128257279,2.3656305219544373,0.10507449890192244,0.04930101961504295,2.3656335638522643,0.10530202061312906,0.04898402492013508,2.3656474297656147,0.10538046468573303,0.049189357749592585,2.3656436433505394,0.10522535567839723,0.04942459213483711,2.3656241337062434,0.10485771907300603,0.049500159491679255,2.365614458143412,0.10461072025993796,0.04943626266582582,1.2195090564678325e-05,0.0002933326485307599,0.00019287294509155907,1.6907811177357956e-05,0.00030596578381059114,0.00019913987663630617
30,31,3.155112219266093,0.20776806435270798,0.4630741257863973,3.155112219266093,0.061297920666721836,0.44449020125779887,3.155129535942403,0.06122716126554834,0.4446731931798375,3.1550657631976713,0.06113211679221974,0.44457385858443305,3.155094455348539,0.06129876205875352,0.44462184005072747,3.1550820251690648,0.06139841299478805,0.4444524349775971,3.155112435853153,0.061447656178721985,0.444517556927739,2.2374935344176213e-05,0.00011399637941150322,7.732814220485349e-05,1.7316676309775403e-05,0.00014973551200014867,0.00018299192203863335
31,32,2.58703484474321,0.11573921920433103,0.11066940869427465,2.58703484474321,0.11191010317215387,0.10813872543387787,2.5870351596389893,0.11148834002776256,0.10855213956847252,2.5870336553018616,0.11174380411620106,0.10730924296086855,2.5870353430175603,0.1117789583492347,0.10863893130749172,2.5870361114822833,0.11204058112613507,0.10826207220061976,2.587034677764106,0.1122496460632113,0.10814696406076249,8.111757032929378e-07,0.0002617760919622958,0.00047225699764947773,1.266739073191303e-06,0.0003395428910574344,0.0005002058736138515
