,Objname,ObsSMA,ObsEcc,ObsSin(Inc),PropSMA,PropEcc,PropSin(Inc),0_2PE_a,0_2PE_e,0_2PE_sinI,1_3PE_a,1_3PE_e,1_3PE_sinI,2_4PE_a,2_4PE_e,2_4PE_sinI,3_5PE_a,3_5PE_e,3_5PE_sinI,4_6PE_a,4_6PE_e,4_6PE_sinI,RMS_err_a,RMS_err_e,RMS_err_sinI,Delta_a,Delta_e,Delta_sinI
0,1,2.7670978784734412,0.11825416657964645,0.1696648022368416,2.7670978784734412,0.11499970631102596,0.16744402100782346,2.767101343980532,0.11513124323774863,0.16750664543231264,2.767080667387307,0.11529581618333552,0.16752204826733447,2.767077694555848,0.1148362807590384,0.167516747289832,2.767097511135263,0.11532460887166239,0.16752957307117655,2.7671143449598863,0.1149115526200978,0.16753593399853012,1.404921256087846e-05,0.00022137013246851248,7.882428213285316e-05,1.646648644504367e-05,0.0003249025606364281,9.191299070665515e-05
1,2,2.7707730791690417,0.28830180597662086,0.5789223934652649,2.7707730791690417,0.2697541708663377,0.5386807953316913,2.7709024321987434,0.2701692578438419,0.538625804191841,2.770623874146585,0.2708282207227602,0.5386547801258585,2.7705402071484033,0.2711339423227148,0.5387189060747567,2.7707166046350142,0.2712312756382618,0.5387675041830018,2.7708765876660766,0.2712752348526371,0.5386880159946552,0.00014637424976243383,0.0012429902431206781,5.04456301432921e-05,0.00012935302970173979,0.0015210639862994202,8.670885131045747e-05
2,3,2.66931303620957,0.23599889212455485,0.2321922254783941,2.66931303620957,0.23348464790690604,0.22824466499432583,2.6693199099072706,0.23341951963356966,0.2282267687414626,2.669312179729669,0.23345361286102498,0.22823728026222434,2.669309950832363,0.2334778054800138,0.22824937212400456,2.669317904512242,0.23346110216416116,0.22825319228415847,2.6693099703910295,0.2334444691987928,0.22825284786295164,4.256769776232573e-06,3.852379901684197e-05,1.0359934511419393e-05,6.873697700804371e-06,-6.842426892250675e-06,8.527289832638285e-06
3,4,2.3615125295101964,0.10410549290302083,0.11399011742456219,2.3615125295101964,0.09979462047262941,0.11119832039941221,2.3615129720016563,0.10185319371065353,0.11129966923509621,2.3615123504642273,0.10225187013026896,0.11138843271841667,2.361512119058187,0.10257392574880028,0.11137794102020035,2.361512210458212,0.10278255878844221,0.11136291260403092,2.3615124751377783,0.10304656609694013,0.11146308015829258,3.1656832806867294e-07,0.0027387319400410818,0.00018754528599125125,4.4249145991770433e-07,0.0032519456243107203,0.0002647597588803646
4,5,2.577346230883708,0.19031297050722204,0.08049054387581404,2.577346230883708,0.17729286475172554,0.043178311044575715,2.57759265729694,0.16049580377433006,0.07307048290230164,2.577705062872248,0.18267225072911414,0.06550479197463668,2.5776968121103865,0.177360107088256,0.06531905120039533,2.5774089053857523,0.16634238649409083,0.06925356962260257,2.576750989627867,0.21200584201608358,0.07676360599085254,0.0003662332086251391,0.018088600482793895,0.027166586867985797,0.00035883198854014253,0.03471297726435804,0.03358529494627682
5,6,2.4252753833877345,0.1648115749611458,0.25240140089066,2.4252753833877345,0.1584296827378573,0.22999840810078526,2.4252684111814644,0.1606900498073661,0.24790722334511067,2.4252729104807256,0.16246521839162192,0.24845988508271533,2.4252778462164923,0.1638071110174696,0.2488732772854825,2.425277428248793,0.16399722768547467,0.24899245814238702,2.425279385604058,0.1629665772969332,0.2486666858567227,4.024714824409381e-06,0.004514255446649244,0.018585429851928903,4.002216323684138e-06,0.005567544947617381,0.018994050041601762
6,7,2.3860527679424925,0.21530182382970572,0.11407863960078071,2.3860527679424925,0.21203629693343384,0.11065392141347466,2.386011905699606,0.2111347209809466,0.10918259904275517,2.3860177095422537,0.2119235942634051,0.1105752206433869,2.3860141698467965,0.21196913746662407,0.11050938847879646,2.3860377243683026,0.211659816208692,0.11032461493238771,2.3861321315754402,0.21438309961991825,0.11371870402120457,4.671942352269671e-05,0.001138356013671437,0.0015292618016630342,7.936363294769322e-05,0.002346802686484406,0.00306478260772991
7,8,2.201431637606253,0.15460761092022374,0.1012431569810691,2.201431637606253,0.14627688251337362,0.0921217436311267,2.201430055185438,0.15269361431897385,0.09751559551444808,2.201430667810187,0.15448822326289732,0.09878614383250348,2.2014303569124123,0.15348604585088704,0.09980723272591284,2.20143297220328,0.15263800828955915,0.10017646659714657,2.2014346008051446,0.15319547452090687,0.09945692751962205,1.7689790080564943e-06,0.007055543019554098,0.007088837641627392,2.9631988915923557e-06,0.008211340749523705,0.008054722966019875
8,9,2.3864364039615933,0.13107583945381585,0.08476925028791032,2.3864364039615933,0.12787915252875975,0.08148191479910727,2.386438847325168,0.12744871406572147,0.0820207956421714,2.3864368407468177,0.12769876950857517,0.08504344072019304,2.3864355707309444,0.1279807351510632,0.08143640027454743,2.3864361994382612,0.12813471076427357,0.08151881933094762,2.386434963094595,0.1282369786906906,0.08148844512299865,1.339627388783728e-06,0.00029033908021098437,0.0016111074210699776,2.4433635745779725e-06,0.0003578261619308354,0.003561525921085773
9,10,3.1416205593761086,0.13805159789888066,0.0911779932297734,3.1416205593761086,0.1355149595662352,0.08869862233264311,3.1416398916006054,0.13574630438096863,0.08869517986050607,3.1415264014493864,0.1357028440365177,0.08869653168536612,3.141798249435615,0.1355923087563417,0.08869044221468383,3.141867572922913,0.13523133195205086,0.08868461312567866,3.1414215206051277,0.13548996742986547,0.08868130789153267,0.00016819353850518797,0.00018754899365005238,1.0762745941615356e-05,0.0002470135468044532,0.00023134481473344182,-2.0906472769921525e-06
