,Objname,ObsEcc,ObsSin(Inc),PropEcc,PropSin(Inc),PropSMA,0_2PE,1_3PE,2_4PE,3_5PE,4_6PE,5_7PE,6_8PE,7_9PE,8_10PE
0,1,0.11795722374210012,0.16878666459594377,0.11495160976027707,0.16768212093266688,2.76343421723015,"[0.11468638846962052, 0.16769629428393107, 2.7633946545175623]","[0.11514366784386329, 0.1676307468627227, 2.763427780914953]","[0.11490752808447112, 0.16762760989134357, 2.7634573058957077]","[0.1152594163486325, 0.1676687250522629, 2.76348808039266]","[0.11468165055621563, 0.16760582694582393, 2.763448151057215]","[0.11551387540393515, 0.167670117752297, 2.7634054190863324]","[0.11489713515648933, 0.1676555046784813, 2.76344562607902]","[0.11460407259854959, 0.16763362808047452, 2.7634483550316187]","[0.11576471102201429, 0.16768125192124, 2.7634223257191515]"
1,2,0.28748112252001756,0.5465436075895234,0.27589142869138694,0.5399745116937396,2.7669808916772127,"[0.2804350820707521, 0.5461761368043541, 2.7669217198913367]","[0.27943270636716033, 0.5458831514933131, 2.7669132860583163]","[0.27780694418544355, 0.5457854223092704, 2.7669822361984884]","[0.279772356683826, 0.5462694405630821, 2.7671768375624124]","[0.2797856911837026, 0.5459878610679636, 2.7671426318467183]","[0.2780023483301744, 0.5460019586766292, 2.767263530138396]","[0.2798089960667543, 0.5463328132149536, 2.7671838912292714]","[0.27978857838860527, 0.5460839183994143, 2.76679441195031]","[0.27843828023339556, 0.5461310054237722, 2.766676399690691]"
2,3,0.23583629119145536,0.23003877896300703,0.23361566896172398,0.2292353994283191,2.6658639476466237,"[0.23324533836408404, 0.22921086162908344, 2.6657783466570617]","[0.2330865703472456, 0.2292103685906999, 2.6658119054052585]","[0.2331366940911376, 0.2292138089038187, 2.6658615201565654]","[0.23310977303707048, 0.22923461503473247, 2.665892010448414]","[0.2329966697872434, 0.22925034010538084, 2.6658684407149513]","[0.23316440870657845, 0.22928120076430447, 2.6658463608199487]","[0.23297803203242137, 0.22925622872595897, 2.6658987475793436]","[0.23324731498027376, 0.2292333623169156, 2.6659091186116575]","[0.23310910852116995, 0.22920594390252677, 2.665925572877604]"
3,4,0.1029681201104891,0.11369443106571316,0.09823831226495527,0.11199548644952745,2.3583908289263404,"[0.09920080850965388, 0.1120752398804615, 2.3583929982451566]","[0.0981243711829776, 0.11225273323636799, 2.3583880275207556]","[0.09854728269338262, 0.11198379817945053, 2.3583979815806195]","[0.09888607621279066, 0.11176297512553436, 2.3583973200311075]","[0.09745015504540068, 0.11175992735326733, 2.3583881870378827]","[0.09803954211641186, 0.1120989997548526, 2.358399588831453]","[0.09841546751441813, 0.1123028884633487, 2.358405002472715]","[0.0973697402905894, 0.11214912878659365, 2.35837652732821]","[0.09827444242883086, 0.11185342489232668, 2.358372414963098]"
4,6,0.16410065231225435,0.24972165689510678,0.15833705685080096,0.2489867117999994,2.4220678547089647,"[0.15680728436341554, 0.248052662511241, 2.4220720100382716]","[0.1588164393122913, 0.24806478385811698, 2.4220656319774063]","[0.15504244801722322, 0.2483336870269138, 2.4220652218677268]","[0.15832660567782703, 0.24864968611249072, 2.4220614140522523]","[0.15472023666571913, 0.24885765568142384, 2.4220665022206624]","[0.1570618423212463, 0.2492080525998283, 2.422067708839441]","[0.1552475861668513, 0.2494576434724005, 2.422075509468221]","[0.15647887309642822, 0.24962274455551423, 2.422072349151772]","[0.15537837816098904, 0.24966361800768522, 2.422054829611643]"
5,7,0.21399481002977636,0.11226593154620786,0.2084590103730373,0.1105403532444848,2.3833685595416245,"[0.21151363721021194, 0.11164792757678495, 2.382939799903591]","[0.2104173745659623, 0.1106452134303048, 2.3828674814608792]","[0.2111788182845792, 0.11096645016093386, 2.3828661895701817]","[0.2125956424707834, 0.11184538008803634, 2.383125195707914]","[0.2127497765985218, 0.11136578210621853, 2.384865016144703]","[0.21132204841935393, 0.11026458664085283, 2.3847670703767854]","[0.21016558910018018, 0.10947237518743946, 2.3830729974884437]","[0.21010359319163519, 0.10948052040278713, 2.3830007264802697]","[0.20958572743400786, 0.10908368476593307, 2.3831012720401676]"
6,8,0.15662483890301082,0.10300248272555182,0.1484843837937987,0.10110849656040483,2.198537068224399,"[0.14411499535283878, 0.0989808743234488, 2.1984823384881476]","[0.14385615203428279, 0.09896175132731744, 2.198471022839988]","[0.14454815033212212, 0.09947788120042492, 2.198489986459182]","[0.14607023660589608, 0.10045306347861725, 2.198565608836605]","[0.1477232090453932, 0.10140037519420676, 2.1985628972820486]","[0.15044226350645318, 0.10215121261732435, 2.198515396523764]","[0.15304303718654175, 0.1026478381996489, 2.198557774763648]","[0.15131101768498928, 0.10295511123721156, 2.198629571112607]","[0.1476899645612432, 0.10295252282027703, 2.198578671291097]"
7,9,0.1305962737885371,0.08475182219410184,0.12737694406393907,0.08241453541981512,2.3832853615577294,"[0.1267265671557569, 0.0824311111262497, 2.3832915931668093]","[0.12708578773840085, 0.0823978425091369, 2.3832668283492553]","[0.12721073276320097, 0.08234691328585152, 2.383280363980901]","[0.12778082517373074, 0.08238363200056167, 2.383270364105225]","[0.1280221707889595, 0.08247041295561272, 2.3832866252920692]","[0.12797332102907844, 0.08250494176106005, 2.3832779725634285]","[0.12787568923769244, 0.08240823841055081, 2.3832793594594253]","[0.1273035701868206, 0.08231669958591877, 2.383281224380998]","[0.12720083822264056, 0.08237819591181655, 2.383288097424009]"
8,10,0.1376219316832918,0.0910152755714218,0.1353298216725737,0.08888015638865275,3.138004064284859,"[0.13531918063780418, 0.08889016212691024, 3.137805801653798]","[0.1355532922270817, 0.08889431826188732, 3.1376040318449707]","[0.1349663860027453, 0.08888197445972391, 3.1382054375477217]","[0.1349354682677934, 0.0888966482780931, 3.138268017931148]","[0.13533273848534957, 0.08886252474247901, 3.1379873713242485]","[0.13585042671775163, 0.088884815981167, 3.1378316848852474]","[0.13605466997493373, 0.0888956120162681, 3.137740921247958]","[0.13521932627534627, 0.08884755718353861, 3.1384279189222544]","[0.13503409951751844, 0.08886977985035359, 3.1382887129692416]"
9,11,0.07855981397744691,0.07143973513818426,0.0746129392314056,0.06859806363490331,2.449028349869559,"[0.07502212046549836, 0.06861036363246859, 2.449003256223624]","[0.07498432043693976, 0.0686010021504885, 2.449004404552861]","[0.07436384732570078, 0.06857155574102229, 2.449006649434933]","[0.07477777986884607, 0.06851492524178283, 2.449012759535305]","[0.07467847812385198, 0.0685438378705194, 2.4490228874276943]","[0.07441281598899548, 0.06857799492915212, 2.4490355119156573]","[0.07507746299005733, 0.06855584216457844, 2.449050323401872]","[0.0748350791091819, 0.06856899631163543, 2.449059184626442]","[0.07449816800511624, 0.06863229469760024, 2.449061978669754]"
