,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2452990.0,-41.64207441588174,-6.964110248572542,-0.4569442932098431,-0.11797636504180829,-0.9227386551471883,-0.07343215020387858
1,1.0,2452990.0,-41.65146935853335,-6.96549588384387,-0.45700719210228713,-0.11772375238151794,-0.9228837184985524,-0.07343062480079562
2,1.0,2452990.0,-41.6413576869185,-6.964305459426722,-0.456934877622605,-0.11823233493002136,-0.9228143854229836,-0.07343693616008568
3,1.0,2452990.0,-41.64214468997783,-6.964054800507995,-0.4569148555351983,-0.11790256596150701,-0.9227251454936584,-0.07342948461203996
4,1.0,2452990.0,-41.642116192076536,-6.964372179144897,-0.45701906030201345,-0.11828800521626877,-0.9228466394853041,-0.07344451903223032
5,1.0,2452990.0,-41.63544918062505,-6.963139512148672,-0.4568768576884945,-0.11812825031329774,-0.9226410603863082,-0.07342220296397131
6,1.0,2452990.0,-41.639836306039356,-6.963598937468571,-0.4569548296596857,-0.11792224002144157,-0.9226746484622966,-0.07341124888994453
7,1.0,2452990.0,-41.64146949788037,-6.964001912963283,-0.4569977144823276,-0.11784359481498127,-0.9226906664384756,-0.07342891973799841
8,1.0,2452990.0,-41.638305046990816,-6.9635440387841605,-0.45684176201235194,-0.11805836977897594,-0.9226822868446668,-0.07342150007900267
9,1.0,2452990.0,-41.64209277764297,-6.964164860077245,-0.4569465705674025,-0.11814684835545908,-0.9227891214177956,-0.07343979136692214
10,1.0,2452990.0,-41.63569030010714,-6.963110653965904,-0.4568814362186129,-0.11796667657177806,-0.9225920159710926,-0.07342720822506683
11,1.0,2452990.0,-41.653972804329854,-6.965977254849685,-0.4570504815136509,-0.11777495843171182,-0.9229338919856411,-0.07344617082812775
12,1.0,2452990.0,-41.64984654649942,-6.9652277204666735,-0.4570509257927464,-0.11792592855272513,-0.9229230247101038,-0.07343881130650504
13,1.0,2452990.0,-41.638414707489154,-6.963324403632576,-0.4569826250741975,-0.1177335244202492,-0.9225826750280575,-0.07342713757918097
14,1.0,2452990.0,-41.645503441782594,-6.964852376671891,-0.45719392623359134,-0.11812318085261368,-0.9228696521105781,-0.07342854266200598
15,1.0,2452990.0,-41.63135082173659,-6.962312811327255,-0.4567954977893398,-0.1180133721874673,-0.9224917800277487,-0.07342917130798778
16,1.0,2452990.0,-41.63578928858639,-6.963249098495801,-0.45692050746453705,-0.1180828052562797,-0.9226430284090629,-0.07342060123876316
17,1.0,2452990.0,-41.64302596373016,-6.964313421746198,-0.456866279671309,-0.11796252546931314,-0.9227452837518256,-0.07342821483436325
18,1.0,2452990.0,-41.63975614155309,-6.963644123223633,-0.45695200660984936,-0.11783081600687485,-0.9226513943474703,-0.07344760507038241
19,1.0,2452990.0,-41.63738848496238,-6.963359126076313,-0.45687062448953975,-0.11808014394291802,-0.9226713964855687,-0.07341439056182207
20,1.0,2452990.0,-41.65687256949564,-6.966624168853535,-0.4571748163488234,-0.11806459386768156,-0.9231238871336369,-0.07345806001539879
