,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2456660.0,34.531374375881256,-3.449586189843737,-5.7068852701937045,-0.05694517645322905,0.9523345579581081,-0.5661905053921296
1,1.0,2456660.0,34.531866062958414,-3.449642306100559,-5.706966163551881,-0.05697418136738501,0.9523536109490048,-0.5661920644162186
2,1.0,2456660.0,34.53128044519857,-3.4495760385156853,-5.706864891523266,-0.056956344006273356,0.9523331805035791,-0.5661871002293424
3,1.0,2456660.0,34.5306305580411,-3.4495136960934243,-5.706751111533959,-0.05695881134114705,0.9523170168577254,-0.5661739545233623
4,1.0,2456660.0,34.53115430043914,-3.4495642212352653,-5.706847984484226,-0.056943250908544935,0.9523255866435667,-0.5661911199448607
5,1.0,2456660.0,34.53077677780532,-3.4495136192823583,-5.706787696606407,-0.056928134305645146,0.9523198266974043,-0.5661829041888862
6,1.0,2456660.0,34.531379952073515,-3.4495882955170067,-5.706880266600594,-0.0569379614257387,0.9523342381052086,-0.5661894400742973
7,1.0,2456660.0,34.53150595406476,-3.4495980266281236,-5.706914486508702,-0.05693968810854075,0.952332132269253,-0.566190298912986
8,1.0,2456660.0,34.53191109119205,-3.4496362634454947,-5.706975865095513,-0.05693567439193979,0.9523477875030013,-0.5661992740192842
9,1.0,2456660.0,34.53179336805697,-3.4496319948994483,-5.7069598900569165,-0.05693427485282146,0.9523435209767808,-0.5661979907509549
10,1.0,2456660.0,34.53110203130967,-3.449555475467168,-5.7068368556329645,-0.056931537638007464,0.9523228020572966,-0.5661893782882206
11,1.0,2456660.0,34.53204735151232,-3.4496552271782512,-5.70699671592063,-0.05695153782797074,0.952351452040153,-0.5661999904417102
12,1.0,2456660.0,34.53156989561275,-3.4496129975644028,-5.706913100944465,-0.05694019972015194,0.9523386314939644,-0.5661889795318811
13,1.0,2456660.0,34.53187013633761,-3.4496435654705238,-5.706973193955175,-0.056945248400157106,0.9523496741347323,-0.5661992840442546
14,1.0,2456660.0,34.53061350673109,-3.4495167365123454,-5.706746454322594,-0.05696113674055345,0.9523135127388133,-0.5661719368181285
15,1.0,2456660.0,34.531806754297236,-3.449621870607311,-5.706962168945324,-0.05691462269186141,0.9523380051058185,-0.5662008294958459
16,1.0,2456660.0,34.53191319436275,-3.449642269080231,-5.706976315719069,-0.05692664609832948,0.9523474393084318,-0.5662003626567401
17,1.0,2456660.0,34.53107101797894,-3.449551392961281,-5.7068459219659395,-0.056923408007258126,0.9523216144738855,-0.5661852150090014
18,1.0,2456660.0,34.53085643206946,-3.449527098128783,-5.706804294262124,-0.05692346599354968,0.9523142051821846,-0.5661814718603659
19,1.0,2456660.0,34.53115131711046,-3.4495597358205696,-5.7068554904697155,-0.056952481160913594,0.9523285989926198,-0.5661847321647089
20,1.0,2456660.0,34.5314698923704,-3.449597185560515,-5.706900922450651,-0.05692064858885704,0.952331567550017,-0.5661997282297355
