,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2457160.0,-29.815965755698212,-36.177355388512346,1.1251493892686626,0.6409091930728977,-0.547107937797989,0.21335691354689207
1,1.0,2457160.0,-29.816347839376526,-36.17781101459285,1.1251597538350326,0.6409524607708713,-0.5470781221518507,0.21335980016182693
2,1.0,2457160.0,-29.816969365277988,-36.178564360142715,1.1251825040232517,0.6409329820087657,-0.54713024144344,0.2133570233736859
3,1.0,2457160.0,-29.81559523891428,-36.17691446283216,1.1251342191697287,0.6409119830519887,-0.5470907909421898,0.2133542947371967
4,1.0,2457160.0,-29.816200918338545,-36.17764245363582,1.1251658385314074,0.6409166937226168,-0.5471177621352145,0.2133577031038076
5,1.0,2457160.0,-29.815345160477207,-36.17659813214438,1.1251266209061441,0.6409077634222486,-0.5470883139456664,0.2133513369113045
6,1.0,2457160.0,-29.81624169042531,-36.177683870464925,1.1251672745984114,0.640916114307285,-0.5471195170242306,0.21336047123769303
7,1.0,2457160.0,-29.815780504420843,-36.17712663316965,1.1251421532597505,0.6408729178180932,-0.5471425184754366,0.21335718848794658
8,1.0,2457160.0,-29.815275095770545,-36.17651340435576,1.125125933421249,0.640903019949553,-0.5470782326780392,0.21335227333119286
9,1.0,2457160.0,-29.816519023343698,-36.17801915362661,1.1251780037384997,0.6409250904255775,-0.5471190284390103,0.21336065900164686
10,1.0,2457160.0,-29.81541025389147,-36.17666331880656,1.1251263173332577,0.6409134092558028,-0.5470786321724732,0.21335197390052701
11,1.0,2457160.0,-29.81642688665105,-36.177911372707555,1.1251669414799124,0.6409214939174833,-0.5471090226764919,0.2133607140040083
12,1.0,2457160.0,-29.816275429249167,-36.177725303957516,1.125153859922042,0.6409252531230729,-0.5471039092935884,0.2133585672175225
13,1.0,2457160.0,-29.815768766109485,-36.17711308751307,1.1251409403519115,0.640946079182478,-0.5470592402913366,0.21335288144677797
14,1.0,2457160.0,-29.816355609440446,-36.17782964703693,1.125151897778169,0.640902475449893,-0.5471327234461477,0.21335899190068167
15,1.0,2457160.0,-29.81539707799587,-36.17665455651031,1.125124362817853,0.6409055859524906,-0.5470873022712996,0.21335503873036762
16,1.0,2457160.0,-29.816191440681504,-36.177599362246546,1.125140878982843,0.6409412298888063,-0.5470866968529143,0.2133570684750852
17,1.0,2457160.0,-29.815517851009282,-36.17679960721909,1.1251354588922302,0.640948163797305,-0.5470453585484468,0.2133517799917215
18,1.0,2457160.0,-29.815670535018587,-36.176993973910754,1.1251343200566355,0.6408821475150135,-0.5471253410185537,0.21335844463093398
19,1.0,2457160.0,-29.815633866811275,-36.17694344125903,1.1251357277312697,0.6409087237419848,-0.5470930133415615,0.21335310984996045
20,1.0,2457160.0,-29.81611676088487,-36.17752671457149,1.125149068952604,0.6409238350722101,-0.5470918976869865,0.21335666547725066
