,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2456780.0,-34.98607044212157,-22.756139676995748,1.2763739869458914,0.5091805612837045,-0.8582047196571004,-0.035942642950602344
1,1.0,2456780.0,-34.98458302033699,-22.755195374946275,1.2763257422255947,0.5091547258764688,-0.8581637780942942,-0.03592094539973985
2,1.0,2456780.0,-34.9866362379967,-22.756483244674527,1.276408627179497,0.5091824468843609,-0.858229651057437,-0.035942773280473864
3,1.0,2456780.0,-34.98626883749709,-22.756284763558387,1.2764116270294308,0.5091811260181862,-0.8582222222909445,-0.03594056717150952
4,1.0,2456780.0,-34.9868484106688,-22.756672798318558,1.2764205981537107,0.5092295643310708,-0.8582105133975375,-0.03595384675324113
5,1.0,2456780.0,-34.985907093153365,-22.756051422394062,1.2763801871996585,0.5092249357914053,-0.8581919193733085,-0.035953277525509114
6,1.0,2456780.0,-34.986969213577694,-22.756748461386376,1.2764373504643443,0.5092170416993831,-0.8582051239722563,-0.035946834806564985
7,1.0,2456780.0,-34.98667066105073,-22.756571961491474,1.2763679253215543,0.5092219325739002,-0.8582138765838393,-0.03594354827628476
8,1.0,2456780.0,-34.98509774532227,-22.755478679411258,1.2763619625496965,0.5091684125400956,-0.8581703552077119,-0.035945102053764055
9,1.0,2456780.0,-34.98647950525826,-22.75641034040347,1.2763728162913488,0.509135052583041,-0.8582593575564155,-0.03593160127051098
10,1.0,2456780.0,-34.98472791017415,-22.755238972368332,1.2763350624610728,0.5091142852513105,-0.8581978390474938,-0.03593589118429469
11,1.0,2456780.0,-34.985707850047255,-22.755886009846385,1.2763482963195572,0.5091578825443321,-0.8581881782169574,-0.03592302226363505
12,1.0,2456780.0,-34.98464338698184,-22.755178927978193,1.2763261263538235,0.5091489498754543,-0.8581789205490171,-0.035959729049169144
13,1.0,2456780.0,-34.98509250701546,-22.755513531710562,1.2763360718452852,0.5091427547568003,-0.8581896163287202,-0.03594054411762854
14,1.0,2456780.0,-34.98707123014751,-22.756821626576784,1.276414311495288,0.5091835654699806,-0.8582295592436889,-0.03594414078806036
15,1.0,2456780.0,-34.98656420937418,-22.756509118291618,1.2763822365466466,0.5092491651615538,-0.858183217427615,-0.03594259746275938
16,1.0,2456780.0,-34.98587871834147,-22.756041284669866,1.276365443408381,0.5091693150708125,-0.8582136340332528,-0.035956303480835124
17,1.0,2456780.0,-34.98661228884992,-22.756511634161317,1.2763917844590555,0.5091852917808104,-0.8582300791812376,-0.035960447423238395
18,1.0,2456780.0,-34.98678412003753,-22.756585592728655,1.2763920643142235,0.5092608275253816,-0.8581801271710611,-0.03593652281761882
19,1.0,2456780.0,-34.98712089665711,-22.75683305980123,1.2763852403865794,0.5092620896141383,-0.8581996520602932,-0.035947059386171355
20,1.0,2456780.0,-34.985114840481394,-22.755498082937955,1.2763319525596302,0.5091860515276613,-0.858161353067552,-0.035945190407088934
