,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2458390.0,-28.248994612257967,-47.625473519993946,-5.2808133013955505,0.7743283944523026,-0.2397638304165048,-0.10311919283176815
1,1.0,2458390.0,-28.248956497898895,-47.62540552595072,-5.280807156413459,0.7743185084386024,-0.23977458553296455,-0.1031200214426753
2,1.0,2458390.0,-28.249342732284855,-47.626082990317286,-5.280878755102927,0.7743466358078687,-0.2397573246398187,-0.10311849632582705
3,1.0,2458390.0,-28.248918680973578,-47.62533616790988,-5.280797911956169,0.7743305458847343,-0.23975497006984509,-0.10311873901398377
4,1.0,2458390.0,-28.248842589311714,-47.625208659006574,-5.280785316703698,0.7743179397717825,-0.2397726698949231,-0.1031229723883307
5,1.0,2458390.0,-28.249000936159483,-47.62548486468914,-5.28081348829911,0.7743196944220057,-0.23977658960870712,-0.1031212207390054
6,1.0,2458390.0,-28.249175486106726,-47.62579092388007,-5.280846523382554,0.7743206831258396,-0.2397840911030875,-0.10312159475395821
7,1.0,2458390.0,-28.24910968608289,-47.625674321151564,-5.280836592122354,0.7743317176234817,-0.23976602079667358,-0.1031191811298512
8,1.0,2458390.0,-28.248962190304326,-47.62542191508161,-5.280810981750349,0.7743285426599364,-0.239763283214115,-0.10311894481276625
9,1.0,2458390.0,-28.2489830417282,-47.62546081926327,-5.280809049824917,0.7743266326715115,-0.23976938589203503,-0.1031196126076601
10,1.0,2458390.0,-28.249136457052973,-47.625726240033615,-5.280838107471154,0.7743111554143702,-0.2397979460857121,-0.10312281784996041
11,1.0,2458390.0,-28.24905457355279,-47.6255714168694,-5.280824696320653,0.7743280728618364,-0.23976547694402547,-0.10311953745890676
12,1.0,2458390.0,-28.24893127660126,-47.625358574984425,-5.280801605908039,0.7743397619109927,-0.23974247887726888,-0.10311683353611606
13,1.0,2458390.0,-28.24922533518673,-47.6258793513357,-5.280858512136808,0.7743061218298687,-0.2398084218894906,-0.10312592075217442
14,1.0,2458390.0,-28.249117320472582,-47.625690639561434,-5.280836844315656,0.7743268861948045,-0.2397748064330972,-0.10312147297795128
15,1.0,2458390.0,-28.248939438445277,-47.62537659840059,-5.280801109041951,0.7743139232601198,-0.2397812226300306,-0.1031213065878264
16,1.0,2458390.0,-28.24888737080056,-47.62527936064254,-5.2807911819474755,0.7743498318879439,-0.23972508904766673,-0.1031144465383602
17,1.0,2458390.0,-28.248962637164595,-47.62541009626488,-5.280806070871583,0.7743566031707105,-0.23971954114169836,-0.10311372706134381
18,1.0,2458390.0,-28.24934496165524,-47.62608633030978,-5.2808820209212755,0.7743178904140358,-0.23979875371920975,-0.10312509258444245
19,1.0,2458390.0,-28.24905006065157,-47.62557896771561,-5.280826601365958,0.7742808831942606,-0.23983716703093594,-0.10312676687907153
20,1.0,2458390.0,-28.24905926210767,-47.62558945475335,-5.280825391939313,0.774286503613529,-0.23983123738750595,-0.1031263512699556
