,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2457270.0,-31.67871220095028,-33.13690819371383,-2.133768359047901,0.7254461413185495,-0.555492338381148,-0.18579041989586426
1,1.0,2457270.0,-31.67899594743915,-33.13720078654391,-2.1337906408636735,0.7254691425519889,-0.5554799666721103,-0.18578951616929631
2,1.0,2457270.0,-31.679043665744402,-33.137251066471116,-2.1337886118382396,0.7255023686826243,-0.5554406952009447,-0.18578896646485732
3,1.0,2457270.0,-31.678953262398263,-33.137157448187764,-2.133785249533814,0.7254496409082761,-0.5555037497002454,-0.18579462553379805
4,1.0,2457270.0,-31.678252567247934,-33.13641975918337,-2.133739806199577,0.7254393030430725,-0.5554754592957403,-0.18578791418344773
5,1.0,2457270.0,-31.678930090856284,-33.137129303954765,-2.1337882346065427,0.7254846625322905,-0.5554610121766386,-0.1857854400881743
6,1.0,2457270.0,-31.67856826633914,-33.13677023410304,-2.1337653614675234,0.7254115681055979,-0.555530225972872,-0.1857896447913007
7,1.0,2457270.0,-31.678769925145016,-33.136961902366416,-2.1337786010562154,0.7254600976179933,-0.5554754436753849,-0.18578896986909432
8,1.0,2457270.0,-31.678398116723887,-33.136591473266805,-2.1337445532334307,0.7254160220748471,-0.5555120232416496,-0.18579217237269194
9,1.0,2457270.0,-31.678825875909876,-33.13703727723469,-2.133784746489213,0.7254470244199998,-0.5554900259272213,-0.18579017978070897
10,1.0,2457270.0,-31.678759421495588,-33.136966616720166,-2.1337713541080765,0.7254317989749024,-0.5555132440819248,-0.1857933863237163
11,1.0,2457270.0,-31.67808199834342,-33.13624032361999,-2.133720825245986,0.7254138626131447,-0.555496222889756,-0.18578916852178565
12,1.0,2457270.0,-31.679162973171824,-33.137376433337906,-2.1338032248538967,0.725443575283857,-0.5555214396464159,-0.1857947608103153
13,1.0,2457270.0,-31.67848982142288,-33.1366826406043,-2.1337592676113446,0.7254077715868228,-0.5555318214678514,-0.18579008782321807
14,1.0,2457270.0,-31.678524481562892,-33.13670803690755,-2.1337463990800565,0.7254578359569401,-0.5554711192875906,-0.1857859189404301
15,1.0,2457270.0,-31.679035920230614,-33.13724406114381,-2.1337947575353673,0.725450200819699,-0.55549562270668,-0.18579375430237954
16,1.0,2457270.0,-31.678702135315486,-33.1368865214381,-2.133766386059106,0.725430808890259,-0.5555105640782328,-0.1857918923215026
17,1.0,2457270.0,-31.67868931252057,-33.136870586029595,-2.1337517279484675,0.7254887294887649,-0.5554389782431414,-0.1857848430779665
18,1.0,2457270.0,-31.678503437430518,-33.13668835043836,-2.133755480932314,0.7254656827812913,-0.5554608531166408,-0.18579166241983458
19,1.0,2457270.0,-31.679184892583606,-33.137398532061695,-2.1337974494235934,0.7254701017767887,-0.5554841376415075,-0.1857919194354834
20,1.0,2457270.0,-31.678848176792698,-33.137052618826594,-2.13376946432169,0.7254361258070718,-0.5555149279497901,-0.18579530697185515
