,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2457490.0,-38.413347833026634,14.401640674374693,-10.955155332844729,-0.3504809310270043,-0.8832222433961698,-0.10514573695946676
1,1.0,2457490.0,-38.41280698573341,14.4014447242462,-10.954998542726877,-0.35046771147156125,-0.8832111060544049,-0.10514141819203447
2,1.0,2457490.0,-38.413600448590834,14.40173735329967,-10.955232838269216,-0.35046572814884924,-0.8832345523502013,-0.1051409375263664
3,1.0,2457490.0,-38.41296335502626,14.401497971359614,-10.955047757649867,-0.3504982187784853,-0.8832075092446288,-0.10515136450669074
4,1.0,2457490.0,-38.413101953879035,14.401546510959582,-10.955079019542298,-0.35048108476841905,-0.883213140016879,-0.10514844937176789
5,1.0,2457490.0,-38.41320518890849,14.401591459602153,-10.955112613899445,-0.35046096572187846,-0.8832230667301681,-0.10514055181944804
6,1.0,2457490.0,-38.41379015765979,14.401797024899347,-10.955285020376293,-0.3504991215528421,-0.8832275996027474,-0.10514805752190436
7,1.0,2457490.0,-38.414136410075265,14.401932638153667,-10.955382965956828,-0.3504935993216668,-0.88323749847075,-0.10515135699660458
8,1.0,2457490.0,-38.4125976784002,14.401358333828075,-10.954937211430956,-0.3505015014056153,-0.8831983051426843,-0.10515254781579172
9,1.0,2457490.0,-38.41298395118862,14.401500690849117,-10.955041400836897,-0.35046870010611475,-0.8832163561640209,-0.10514049844341944
10,1.0,2457490.0,-38.413036442384026,14.401519699630411,-10.955067064790713,-0.3504950925403776,-0.8832099335759541,-0.10515149115286007
11,1.0,2457490.0,-38.412773573060775,14.40142873812651,-10.95498984093545,-0.35051554961857234,-0.8831966422924573,-0.10515498893368995
12,1.0,2457490.0,-38.4132394164787,14.401602123945253,-10.955128655974978,-0.3504640764711507,-0.8832249752084966,-0.10514201132748072
13,1.0,2457490.0,-38.41293586148073,14.40148407429666,-10.955034212107565,-0.3504916766599608,-0.8832074145680922,-0.10514924219674475
14,1.0,2457490.0,-38.413488576233085,14.401702504480438,-10.955197982443698,-0.3504591289998919,-0.8832339215902132,-0.10514096741209818
15,1.0,2457490.0,-38.41364689056293,14.40175359702275,-10.95523118618348,-0.3504693532896009,-0.8832350405913698,-0.10514271626373223
16,1.0,2457490.0,-38.41272250798518,14.401398045408923,-10.954977379637182,-0.3504877252777724,-0.88320197008302,-0.10514836772337029
17,1.0,2457490.0,-38.41340051298393,14.401655576218419,-10.955178613069503,-0.3504879408728872,-0.8832191894410316,-0.10514982977890308
18,1.0,2457490.0,-38.41305798718482,14.401527040315644,-10.955074064800923,-0.3504868728084868,-0.8832149692849091,-0.10515098222573392
19,1.0,2457490.0,-38.41325729912767,14.401611583228522,-10.955127660596945,-0.3504673391865318,-0.8832263666823589,-0.10514025793122675
20,1.0,2457490.0,-38.41374385605076,14.401785818039713,-10.955268071262932,-0.3504957285987121,-0.8832275886450576,-0.10514604441626685
