,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2452290.0,-35.60109607919111,-14.32981370119941,-1.9892668693409776,0.2959137449068605,-0.8709285771128901,-0.48913898659067434
1,1.0,2452290.0,-35.59492223987453,-14.32745839543369,-1.9889105357408532,0.29577535797430476,-0.8708105533814071,-0.4890556460289449
2,1.0,2452290.0,-35.61005295279567,-14.333356525583396,-1.9898656638678434,0.29615137527223173,-0.8710817775086916,-0.4892396453290564
3,1.0,2452290.0,-35.60126061666091,-14.32994352913171,-1.9893105676574185,0.29579360228919604,-0.8710048827853908,-0.48914842533542974
4,1.0,2452290.0,-35.59979015233537,-14.329321202631945,-1.9891783053624517,0.2958701450799005,-0.8709094777460346,-0.48913153080992683
5,1.0,2452290.0,-35.60254073899495,-14.33039201932438,-1.9894102784417278,0.29587278864077354,-0.8710046521379039,-0.48916302594478994
6,1.0,2452290.0,-35.59514242272773,-14.327466096955831,-1.9889019463959583,0.2959156309746512,-0.8707467758337298,-0.48904399668050796
7,1.0,2452290.0,-35.59889581043069,-14.328904717909909,-1.9891476366275924,0.2959534566359752,-0.8708583252630518,-0.4890974947569125
8,1.0,2452290.0,-35.59759509719706,-14.32849399152542,-1.9890534271500098,0.2958473739660073,-0.8708584115338741,-0.48908868677188344
9,1.0,2452290.0,-35.59253064889565,-14.326655253152417,-1.9888594290197945,0.2957020669089485,-0.8707976335618203,-0.48903305152358684
10,1.0,2452290.0,-35.60987251157545,-14.333317485519823,-1.9897813694854767,0.29608361683280393,-0.8711016786266006,-0.48925037231569374
11,1.0,2452290.0,-35.608250493517815,-14.332669407426483,-1.9897388470552535,0.2959678832901961,-0.8711522768725326,-0.489258296493058
12,1.0,2452290.0,-35.602595800205435,-14.330435854616697,-1.9893852253539874,0.2960025183935928,-0.8709224338941042,-0.4891419058391952
13,1.0,2452290.0,-35.59386523809364,-14.327129003437914,-1.9888597507379044,0.29583574137940677,-0.8707351186346696,-0.48902045418232204
14,1.0,2452290.0,-35.60448064299625,-14.331173298936614,-1.9894630919810776,0.29601284062641664,-0.8709704504091537,-0.4891663974194215
15,1.0,2452290.0,-35.601732883348554,-14.330051819048952,-1.989267802010156,0.2959667670598823,-0.8709127683849751,-0.48913654476044155
16,1.0,2452290.0,-35.60642530383885,-14.33195046682902,-1.989620938925471,0.29596048776052825,-0.8710662161572565,-0.4892338480135736
17,1.0,2452290.0,-35.60924550241912,-14.333085306821518,-1.9897014979997438,0.29617825131827313,-0.871015417925731,-0.4892115699883061
18,1.0,2452290.0,-35.60465960371431,-14.331191499056168,-1.9894634283629946,0.29595393823423793,-0.8710203725965914,-0.48918565826320476
19,1.0,2452290.0,-35.600550239825125,-14.329669431869688,-1.9892789639231374,0.295863671816675,-0.8709525828986991,-0.48913632680374214
20,1.0,2452290.0,-35.59986259468151,-14.32933136493821,-1.9891273091026056,0.29586075217549385,-0.8709389601796765,-0.48913218882006404
