,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2452990.0,-41.64207441588174,-6.964110248572542,-0.4569442932098431,-0.11797636504180829,-0.9227386551471883,-0.07343215020387858
1,1.0,2452990.0,-41.64222631844869,-6.964149069894708,-0.457000404033731,-0.11789512490260673,-0.9227158028103182,-0.07343385192489926
2,1.0,2452990.0,-41.640919473310575,-6.963718785554304,-0.45689687437326176,-0.11778611193247804,-0.922635756044159,-0.07341129838895882
3,1.0,2452990.0,-41.64811400271525,-6.965134202764073,-0.457082990101483,-0.11803439026992206,-0.9228922703089829,-0.07344979886703336
4,1.0,2452990.0,-41.638903403066664,-6.9636455022553125,-0.4569297435328463,-0.1180557513818904,-0.9226824075896317,-0.07342530170464288
5,1.0,2452990.0,-41.642187429595715,-6.964074717907296,-0.4569110686311142,-0.11790655912804658,-0.9227141258162956,-0.07342583581078208
6,1.0,2452990.0,-41.638686294369855,-6.9636667385401445,-0.4569161080442963,-0.11800733200701928,-0.9226827667174907,-0.07341456197544251
7,1.0,2452990.0,-41.64270900512215,-6.964058683938882,-0.45692421742798195,-0.11780981568728228,-0.9227010837821689,-0.0734403611557883
8,1.0,2452990.0,-41.64311016470097,-6.96424930458382,-0.45686817891946574,-0.11788122539662739,-0.9227352828595335,-0.07343842609778434
9,1.0,2452990.0,-41.63139001936547,-6.96247450652346,-0.4569386764484433,-0.11801122557675228,-0.9224767909912424,-0.07342229901650729
10,1.0,2452990.0,-41.638153867060886,-6.963303295453432,-0.4569225043284417,-0.11773757620986276,-0.9225850246598275,-0.07342560661496733
11,1.0,2452990.0,-41.64660680597346,-6.964797663016068,-0.4569594381212059,-0.11778976981715969,-0.9227908247009645,-0.07343878327297874
12,1.0,2452990.0,-41.64302356129343,-6.964288151394811,-0.45688968685102505,-0.11802745641131816,-0.9227705056239016,-0.07342736994407563
13,1.0,2452990.0,-41.64326291696947,-6.964596169410049,-0.4568822529750356,-0.11823703595389987,-0.9228559526523796,-0.07344084883087579
14,1.0,2452990.0,-41.6368885817196,-6.963313523890681,-0.4569551004197512,-0.11807057922943631,-0.9226262714068649,-0.07342910616928998
15,1.0,2452990.0,-41.637517863701824,-6.9634409509504565,-0.4569335263555345,-0.11800981851839928,-0.9226588174174785,-0.07341539993693796
16,1.0,2452990.0,-41.640720935454226,-6.963841054020596,-0.457010780087471,-0.1180292752972998,-0.9227510302051442,-0.07343445506567339
17,1.0,2452990.0,-41.64583861083311,-6.964618017375113,-0.4569357575763542,-0.11795227900700819,-0.9228118109009132,-0.07343756641783485
18,1.0,2452990.0,-41.6297722447059,-6.962275301540316,-0.45690819243804537,-0.11809324103346605,-0.9224874194346724,-0.07341080794534498
19,1.0,2452990.0,-41.6431975652005,-6.964277643187035,-0.4569983472140946,-0.11801809891475858,-0.9227696222251373,-0.0734249034158293
20,1.0,2452990.0,-41.64404633258218,-6.964384833085974,-0.45689867915767257,-0.11797366800768481,-0.9227857499996288,-0.07341758761404678
