,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2457000.0,-10.761860885177306,-34.69626266994991,9.394914234118389,0.9625122631837554,-0.20005177651721695,0.333047572684603
1,1.0,2457000.0,-10.761832229543105,-34.69613928296247,9.394877027780268,0.9625380718584389,-0.19997222771894135,0.3330221359784165
2,1.0,2457000.0,-10.761881840485067,-34.69634935002447,9.394941730094402,0.9625196159363151,-0.20004515454256436,0.33304466050892195
3,1.0,2457000.0,-10.761713427942297,-34.695808209196585,9.39478229733658,0.9624947325360941,-0.2000796309763546,0.33305070094048916
4,1.0,2457000.0,-10.761891426176266,-34.69633180729245,9.394939234009769,0.9625028635626401,-0.2000783156650986,0.3330606118326102
5,1.0,2457000.0,-10.761818581172575,-34.69612307657719,9.394871280699203,0.9624649593648236,-0.20017710170647648,0.3330814712259733
6,1.0,2457000.0,-10.761917020012524,-34.6964253091171,9.394956637280425,0.962517005802288,-0.20004133009745328,0.33304446313277386
7,1.0,2457000.0,-10.761863597627503,-34.696267815031874,9.394914671903592,0.9625148423313682,-0.20003076846576356,0.3330446356720616
8,1.0,2457000.0,-10.761937934142903,-34.69647174269307,9.39495835633947,0.9625702538317524,-0.1999023350110351,0.3330078605581352
9,1.0,2457000.0,-10.761736184584123,-34.695853440950096,9.39480333959379,0.962474767503055,-0.20013724805981645,0.3330664414905859
10,1.0,2457000.0,-10.76189927800547,-34.69640668779373,9.394951890786931,0.9625124266979175,-0.20005313385878856,0.33305370890951447
11,1.0,2457000.0,-10.761837310045555,-34.696185619239095,9.394897379300962,0.962523904438013,-0.20000052996250461,0.33303760237535146
12,1.0,2457000.0,-10.761880620883765,-34.69634345529121,9.394930998927832,0.962499883326819,-0.20010300816917975,0.33306376921871433
13,1.0,2457000.0,-10.761920764842001,-34.69644960550151,9.394965925324538,0.9625385822204764,-0.19997939093359118,0.3330335341698276
14,1.0,2457000.0,-10.76200349926129,-34.696686017332844,9.395036321615418,0.9625364658484854,-0.20001647032523642,0.33303908657305537
15,1.0,2457000.0,-10.761900565867128,-34.69636938476393,9.394947998812953,0.9625442905263337,-0.19996867840670823,0.33303164691874987
16,1.0,2457000.0,-10.761784517478647,-34.69603273959732,9.394853408718113,0.9624911958649299,-0.2001036975501781,0.33305575892917605
17,1.0,2457000.0,-10.76192978808847,-34.69647556194422,9.394973006247302,0.9625533421522828,-0.19993622054532445,0.3330176453829687
18,1.0,2457000.0,-10.761871040587922,-34.69632235526132,9.394935205509896,0.9625184173992472,-0.20004818888037929,0.3330418343435886
19,1.0,2457000.0,-10.76188824162911,-34.69633059277196,9.394935243387664,0.9625364968902836,-0.19997578488502588,0.3330270725022031
20,1.0,2457000.0,-10.761858175512772,-34.696272123081435,9.394912049385134,0.9624974874437698,-0.2000900657455213,0.3330559834599404
