,flag,epoch,sbx,sby,sbz,sbvx,sbvy,sbvz
0,1.0,2457490.0,-38.413347833026634,14.401640674374693,-10.955155332844729,-0.3504809310270043,-0.8832222433961698,-0.10514573695946676
1,1.0,2457490.0,-38.413496846845504,14.401692052051956,-10.955199996394583,-0.3504891931965641,-0.8832258379690286,-0.10514750367108625
2,1.0,2457490.0,-38.41317615177004,14.401578719181904,-10.95510427031523,-0.3504603003523248,-0.883223041409274,-0.10514035473234004
3,1.0,2457490.0,-38.41355340407118,14.40170598812134,-10.955211452370548,-0.35049223791344375,-0.8832226018107512,-0.10515072342576301
4,1.0,2457490.0,-38.41338542501273,14.401659839092803,-10.955174216924977,-0.35044622581734547,-0.8832300710845656,-0.10513219065846724
5,1.0,2457490.0,-38.41384586789939,14.401826328774069,-10.955289094762005,-0.35049233973573823,-0.883231146840139,-0.10514864883733241
6,1.0,2457490.0,-38.41356247401359,14.401719452155984,-10.95521446747901,-0.3505135993551626,-0.8832174069904559,-0.10515561563387589
7,1.0,2457490.0,-38.41340797109814,14.401660588275028,-10.955176462208394,-0.3504708728504966,-0.8832259788165467,-0.10514594571960857
8,1.0,2457490.0,-38.413662639283565,14.401762026107619,-10.955243711728901,-0.35047670095541905,-0.88323090274078,-0.10514477771749049
9,1.0,2457490.0,-38.41359903471958,14.401733153298213,-10.95523373964182,-0.3504992778179744,-0.8832224347415859,-0.10514809965987773
10,1.0,2457490.0,-38.41273911573936,14.401417131922454,-10.954980872855655,-0.3504763569432315,-0.883207895033924,-0.10514610394835844
11,1.0,2457490.0,-38.41313651957324,14.401564670163822,-10.95509746883555,-0.35046830833152176,-0.8832205498999233,-0.1051394709849695
12,1.0,2457490.0,-38.413666146635634,14.40174929717453,-10.95524853811838,-0.3505003955052008,-0.8832246914895369,-0.10515144990086919
13,1.0,2457490.0,-38.413885302646435,14.401849057925347,-10.95531127159657,-0.3504739428558166,-0.8832371163302511,-0.1051462500960857
14,1.0,2457490.0,-38.41363971354659,14.401739531281175,-10.955235923050424,-0.3505020279542039,-0.8832223449765552,-0.1051520950172173
15,1.0,2457490.0,-38.41295255901828,14.401491812709518,-10.955033834474882,-0.3504794794823461,-0.8832119996248593,-0.10514558510556357
16,1.0,2457490.0,-38.41301541394355,14.401516582176649,-10.95506448145469,-0.35044172305407595,-0.8832235810868089,-0.10513574139394995
17,1.0,2457490.0,-38.41375660626453,14.401780004117278,-10.955272130363294,-0.35049719109864785,-0.8832287725905187,-0.10514947859468325
18,1.0,2457490.0,-38.413342218148976,14.401645936437282,-10.955154442812194,-0.350470969796089,-0.8832262873329577,-0.1051445422763824
19,1.0,2457490.0,-38.41337509921797,14.401647771236437,-10.955168068123388,-0.35049759925429524,-0.8832161771819776,-0.10515043037944122
20,1.0,2457490.0,-38.41293824626517,14.401476407194444,-10.95503882169248,-0.35049849585033876,-0.8832041269954379,-0.10515078358242619
