,Name,obs_ecc,obs_sinI,calc_ecc,calc_sinI,ast_ecc,ast_sinI
0,15760,0,0,0,0,0,0
1,15789,0,0,0,0,0,0
2,15807,0,0,0,0,0,0
3,15809,0,0,0,0,0,0
4,15810,0,0,0,0,0,0
5,15836,0,0,0,0,0,0
6,15883,0,0,0,0,0,0
7,16684,0,0,0,0,0,0
8,19255,0,0,0,0,0,0
9,19299,0,0,0,0,0,0
10,19308,0,0,0,0,0,0
11,19521,0,0,0,0,0,0
12,20000,0,0,0,0,0,0
13,20108,0,0,0,0,0,0
14,24835,0,0,0,0,0,0
15,24952,0,0,0,0,0,0
16,24978,0,0,0,0,0,0
17,28978,0,0,0,0,0,0
18,32929,0,0,0,0,0,0
19,33001,0,0,0,0,0,0
20,33340,0,0,0,0,0,0
21,35671,0,0,0,0,0,0
22,38083,0,0,0,0,0,0
23,38628,0,0,0,0,0,0
24,42301,0,0,0,0,0,0
25,45802,0,0,0,0,0,0
26,47171,0,0,0,0,0,0
27,47932,0,0,0,0,0,0
28,48639,0,0,0,0,0,0
29,49673,0,0,0,0,0,0
30,50000,0,0,0,0,0,0
31,52747,0,0,0,0,0,0
32,53311,0,0,0,0,0,0
33,55565,0,0,0,0,0,0
34,55636,0,0,0,0,0,0
35,55637,0,0,0,0,0,0
36,55638,0,0,0,0,0,0
37,58534,0,0,0,0,0,0
38,60454,0,0,0,0,0,0
39,60620,0,0,0,0,0,0
40,66452,0,0,0,0,0,0
41,66652,0,0,0,0,0,0
42,69986,0,0,0,0,0,0
43,69987,0,0,0,0,0,0
44,69990,0,0,0,0,0,0
45,76803,0,0,0,0,0,0
46,79360,0,0,0,0,0,0
47,79969,0,0,0,0,0,0
48,79978,0,0,0,0,0,0
49,79983,0,0,0,0,0,0
50,80806,0,0,0,0,0,0
51,82075,0,0,0,0,0,0
52,82157,0,0,0,0,0,0
53,84522,0,0,0,0,0,0
54,84719,0,0,0,0,0,0
55,84922,0,0,0,0,0,0
56,85627,0,0,0,0,0,0
57,85633,0,0,0,0,0,0
58,86047,0,0,0,0,0,0
59,86177,0,0,0,0,0,0
60,88267,0,0,0,0,0,0
61,88268,0,0,0,0,0,0
62,88611,0,0,0,0,0,0
63,90482,0,0,0,0,0,0
64,90568,0,0,0,0,0,0
65,91133,0,0,0,0,0,0
66,91205,0,0,0,0,0,0
67,118228,0,0,0,0,0,0
68,118378,0,0,0,0,0,0
69,118698,0,0,0,0,0,0
70,119066,0,0,0,0,0,0
71,119067,0,0,0,0,0,0
72,119069,0,0,0,0,0,0
73,119070,0,0,0,0,0,0
74,119473,0,0,0,0,0,0
75,119951,0,0,0,0,0,0
76,119956,0,0,0,0,0,0
77,119979,0,0,0,0,0,0
78,120132,0,0,0,0,0,0
79,120178,0,0,0,0,0,0
80,120347,0,0,0,0,0,0
81,120348,0,0,0,0,0,0
82,123509,0,0,0,0,0,0
83,126154,0,0,0,0,0,0
84,126155,0,0,0,0,0,0
85,126719,0,0,0,0,0,0
86,127871,0,0,0,0,0,0
87,129746,0,0,0,0,0,0
88,129772,0,0,0,0,0,0
89,130391,0,0,0,0,0,0
90,131318,0,0,0,0,0,0
91,131695,0,0,0,0,0,0
92,131697,0,0,0,0,0,0
93,133067,0,0,0,0,0,0
94,134340,0,0,0,0,0,0
95,134568,0,0,0,0,0,0
96,134860,0,0,0,0,0,0
97,135024,0,0,0,0,0,0
98,135182,0,0,0,0,0,0
99,135742,0,0,0,0,0,0
100,136108,0,0,0,0,0,0
101,136472,0,0,0,0,0,0
102,137294,0,0,0,0,0,0
103,138537,0,0,0,0,0,0
104,139775,0,0,0,0,0,0
105,143685,0,0,0,0,0,0
106,143751,0,0,0,0,0,0
107,143991,0,0,0,0,0,0
108,144897,0,0,0,0,0,0
109,145452,0,0,0,0,0,0
110,145453,0,0,0,0,0,0
111,148112,0,0,0,0,0,0
112,148780,0,0,0,0,0,0
113,149348,0,0,0,0,0,0
114,149349,0,0,0,0,0,0
115,150642,0,0,0,0,0,0
116,160091,0,0,0,0,0,0
117,160147,0,0,0,0,0,0
118,160256,0,0,0,0,0,0
119,168700,0,0,0,0,0,0
120,168703,0,0,0,0,0,0
121,169071,0,0,0,0,0,0
122,174567,0,0,0,0,0,0
123,175113,0,0,0,0,0,0
124,181708,0,0,0,0,0,0
125,181855,0,0,0,0,0,0
126,181867,0,0,0,0,0,0
127,181868,0,0,0,0,0,0
128,181871,0,0,0,0,0,0
129,181874,0,0,0,0,0,0
130,182222,0,0,0,0,0,0
131,182294,0,0,0,0,0,0
132,182397,0,0,0,0,0,0
133,182926,0,0,0,0,0,0
134,182933,0,0,0,0,0,0
135,182934,0,0,0,0,0,0
136,183595,0,0,0,0,0,0
137,183963,0,0,0,0,0,0
138,184314,0,0,0,0,0,0
139,202421,0,0,0,0,0,0
140,208996,0,0,0,0,0,0
141,230965,0,0,0,0,0,0
142,275809,0,0,0,0,0,0
143,278361,0,0,0,0,0,0
144,303712,0,0,0,0,0,0
145,306792,0,0,0,0,0,0
146,307251,0,0,0,0,0,0
147,307261,0,0,0,0,0,0
148,307463,0,0,0,0,0,0
149,307616,0,0,0,0,0,0
150,308193,0,0,0,0,0,0
151,308379,0,0,0,0,0,0
152,308460,0,0,0,0,0,0
153,308634,0,0,0,0,0,0
154,315530,0,0,0,0,0,0
155,341520,0,0,0,0,0,0
156,363330,0,0,0,0,0,0
157,363401,0,0,0,0,0,0
158,364171,0,0,0,0,0,0
159,385185,0,0,0,0,0,0
160,385191,0,0,0,0,0,0
161,385194,0,0,0,0,0,0
162,385199,0,0,0,0,0,0
163,385201,0,0,0,0,0,0
